"","Bcells","CD4","CD8","Monocytes","NK","Neutrophils"
"ENSG00000211594",5735.7386,0,1.7592,0,0,43.6409
"ENSG00000242887",4279.6852,4.4482,3.4082,2.2056,8.2193,0
"ENSG00000211596",3578.1234,0.7884,1.3639,0,7.0068,36.2815
"ENSG00000211593",2967.4909,0.8755,0,2.4275,6.9214,0
"ENSG00000211595",2305.0554,0,0,0,0,0
"ENSG00000169429",131.5697,0.8908,0.4321,1275.1709,5.8548,9886.37
"ENSG00000123689",39.9904,0.4334,0.3509,299.9407,1.6668,7203.3675
"ENSG00000143546",52.9256,0.2399,0.5498,477.472,1.7858,5226.9382
"ENSG00000242534",1439.4264,0.1505,0,0.0796,0.3852,1.2637
"ENSG00000211904",1390.1726,0.4938,0,1.0563,0,8.3176
"ENSG00000211964",1327.3562,0.3152,0.3762,0.6129,0,7.315
"ENSG00000253701",1226.113,0.1747,0.2312,0,1.8114,1.7881
"ENSG00000211900",1128.8116,1.0502,1.2257,1.5641,2.659,0
"ENSG00000282173",5.634,751.3017,607.8285,5.7855,1111.5702,0
"ENSG00000129226",81.1247,0.0548,0.0401,1520.0649,1.5122,96.6832
"ENSG00000211943",1055.6044,0.4418,0.2958,0.2615,2.1773,0
"ENSG00000136689",40.2687,0.1595,0.1177,405.7325,0.8398,2193.3215
"ENSG00000163220",152.4352,1.3411,0.9097,1474.69,5.8277,9748.095
"ENSG00000237111",957.0264,1.1066,0,1.4726,0,0
"ENSG00000211945",936.0409,0.2141,0.237,0.1823,2.0385,0
"ENSG00000124731",18.4468,0.1747,0.1953,191.7037,0.5586,2529.3874
"ENSG00000242371",871.3649,0,0,0.1606,1.705,0
"ENSG00000211764",98.1961,433.044,529.9526,5.8485,830.0408,0
"ENSG00000211663",810.3849,0.3182,0.6669,0.3913,0.2125,0
"ENSG00000282122",798.5403,0.372,0.5881,0.0902,0.7632,0
"ENSG00000125538",377.4063,1.455,0.4439,4237.9258,9.8674,1699.45
"ENSG00000211947",2038.7597,0.1736,0.4795,0.9386,1.834,1.0606
"ENSG00000073756",11.2413,0.0632,0.0881,151.6849,1.5462,1213.3237
"ENSG00000211598",1232.2011,0.2456,0.0659,0.3028,0.3228,7.7129
"ENSG00000163563",59.7791,0.4025,0.5245,574.9217,3.9096,3665.5427
"ENSG00000280411",1039.2955,0.6286,0.2326,0.0504,3.6454,0.8317
"ENSG00000103569",5.7615,0.0973,0.0554,77.6208,0.7357,1050.0677
"ENSG00000239951",1847.8094,0.4068,0.1747,0.9611,4.3542,4.7005
"ENSG00000223336",11.3074,0,0.2795,1.7575,0,666.8278
"ENSG00000211678",663.4273,0.0978,0,0.7411,0,0
"ENSG00000224373",1087.2481,0.3932,0.2894,0.0648,0.4505,2.6183
"ENSG00000211905",644.4914,0.7221,0.9075,0,0,0
"ENSG00000211592",19622.758,4.9363,2.9715,7.549,21.7227,59.0444
"ENSG00000211766",169.1628,161.6238,162.923,4.0934,629.4578,0
"ENSG00000211597",5942.951,0.858,2.2266,3.7969,14.6503,15.7137
"ENSG00000244437",1137.0107,0.1472,0.0855,0.1585,0.3333,2.7894
"ENSG00000211895",12235.7949,3.534,1.9096,4.0751,19.1314,27.3304
"ENSG00000225698",607.6799,0.0966,0.1224,0.0883,0.1847,0
"ENSG00000211938",2246.4306,1.0278,0.2839,0.3052,7.4397,1.4106
"ENSG00000211965",575.9013,0.0279,0.0669,0.1638,0,0.2398
"ENSG00000211651",569.5596,0.0679,0.0529,0.4117,0.7969,0
"ENSG00000211959",2447.162,0.6636,1.8913,0.7105,0.3328,1.0607
"ENSG00000211767",165.4567,405.6826,361.0653,7.9594,551.9045,0
"ENSG00000211949",5621.5462,2.1447,0.9363,1.4505,6.1563,9.6061
"ENSG00000211890",2566.3193,0.5643,0.3794,0.8191,3.0512,0.7639
"ENSG00000211941",658.9738,0.1449,0.0255,0.2129,0.2151,0.2106
"ENSG00000211677",8954.6485,3.9914,1.6353,3.0749,5.0155,4.9897
"ENSG00000241163",14.54,0.062,0,250.5592,1.4924,505.8266
