"","SRR1550981","SRR1551053","SRR1551060","SRR1551074"
"ENSG00000002834",7963,7027,7410,8191
"ENSG00000002919",1167,729,936,1304
"ENSG00000003400",738,1088,866,816
"ENSG00000003402",7329,7907,7484,6732
"ENSG00000004468",207,433,528,218
"ENSG00000005059",720,1178,783,1170
"ENSG00000006756",448,336,456,514
"ENSG00000007312",2660,1683,704,1411
"ENSG00000010671",1586,1360,1381,1664
"ENSG00000011275",1303,2094,1815,1432
"ENSG00000011600",11457,4842,7875,13597
"ENSG00000013725",2608,4059,2781,2113
"ENSG00000018610",215,252,211,243
"ENSG00000019582",60015,44113,43283,57690
"ENSG00000019991",65,121,102,111
"ENSG00000024048",2423,3702,3491,3278
"ENSG00000032219",633,1232,1025,1103
"ENSG00000036448",370,44,101,51
"ENSG00000037757",416,692,597,416
"ENSG00000038427",6274,10392,11694,11342
"ENSG00000039523",2302,1599,1784,1320
"ENSG00000042980",374,625,373,302
"ENSG00000049239",1278,1261,1537,1187
"ENSG00000053254",1427,2716,2086,1761
"ENSG00000055163",4260,7915,5293,3938
"ENSG00000055211",283,391,312,492
"ENSG00000055332",1469,2962,2657,1239
"ENSG00000058091",307,333,249,294
"ENSG00000058262",3055,2898,3021,3217
"ENSG00000060491",2871,1938,2460,2808
"ENSG00000062282",4829,1190,1901,3858
"ENSG00000064012",2902,2805,2657,3217
"ENSG00000065526",2088,3731,3248,1615
"ENSG00000065883",752,1768,1400,1081
"ENSG00000065923",370,506,284,271
"ENSG00000066336",18094,6643,9898,14066
"ENSG00000067082",5032,7066,5734,6578
"ENSG00000071073",1070,3353,1978,1606
"ENSG00000072786",9865,9473,9721,7378
"ENSG00000073756",369,543,830,664
"ENSG00000081041",1,3,7,8
"ENSG00000081189",640,1111,950,1148
"ENSG00000083454",870,442,201,278
"ENSG00000085265",20400,18006,22685,30978
"ENSG00000085514",2993,1549,2434,3426
"ENSG00000087266",6149,4741,7126,5677
"ENSG00000087269",544,882,623,629
"ENSG00000088888",1316,2541,2143,1100
"ENSG00000089012",432,786,435,442
"ENSG00000089775",358,871,602,398
"ENSG00000089916",685,1429,975,852
"ENSG00000090376",1176,1919,2097,2229
"ENSG00000090382",43962,44223,27789,106665
"ENSG00000090615",898,1507,1085,789
"ENSG00000090924",414,640,540,308
"ENSG00000092531",2378,2956,2518,3078
"ENSG00000092871",773,902,904,940
"ENSG00000095059",20,19,9,12
"ENSG00000095485",663,611,542,651
"ENSG00000095585",349,346,203,254
"ENSG00000096060",2275,3438,2390,4130
"ENSG00000099308",5170,3347,4211,3168
"ENSG00000100031",2,6,4,6
"ENSG00000100034",4544,3220,4188,4504
"ENSG00000100077",729,1369,1200,960
"ENSG00000100299",3220,2029,2377,2258
"ENSG00000100342",1072,967,1322,1058
"ENSG00000100368",11941,10476,14146,14493
"ENSG00000100393",1584,4495,4108,2017
"ENSG00000100418",665,586,606,595
"ENSG00000100450",512,502,2392,468
"ENSG00000100473",45,25,26,36
"ENSG00000100721",2956,1730,600,1185
"ENSG00000100985",4217,968,1526,2162
"ENSG00000101109",3555,6787,5233,4328
"ENSG00000101236",1475,2657,2209,1936
"ENSG00000101290",1738,2301,1595,2260
"ENSG00000101307",3156,2447,2722,3555
"ENSG00000101336",12655,6039,8118,12546
"ENSG00000101347",4689,10182,9026,8857
"ENSG00000101439",5135,3728,5238,8436
"ENSG00000101457",836,544,585,986
"ENSG00000101695",401,1172,803,586
"ENSG00000101842",106,294,150,171
"ENSG00000101916",2236,2378,2996,3955
"ENSG00000101966",749,1600,1191,817
"ENSG00000102158",657,1102,844,1076
"ENSG00000102218",597,1099,987,1395
"ENSG00000102245",213,651,295,286
"ENSG00000102317",2477,2738,2970,3705
"ENSG00000102445",1308,1423,1265,1132
"ENSG00000102580",1311,1542,1078,1892
"ENSG00000102908",699,2442,1748,714
"ENSG00000102910",508,1352,1045,762
"ENSG00000103313",4202,2734,3956,3582
"ENSG00000103365",1857,2479,1672,1696
"ENSG00000103381",6821,4821,5712,8002
"ENSG00000103485",39,45,51,33
"ENSG00000103522",696,925,799,581
"ENSG00000103569",14493,8011,8438,14762
"ENSG00000103966",429,637,436,613
"ENSG00000104154",58,172,87,46
"ENSG00000104687",822,1085,877,1265
"ENSG00000104921",1728,957,428,462
"ENSG00000104974",1769,1940,2569,2760
"ENSG00000105352",858,637,1122,1187
"ENSG00000105369",4531,3076,1017,2324
"ENSG00000105372",13831,12188,9896,14459
"ENSG00000105483",2970,4331,4748,4515
"ENSG00000105492",19,80,37,48
"ENSG00000105501",0,0,0,0
"ENSG00000105639",7102,5500,6241,3902
"ENSG00000105939",1818,3731,2646,2067
"ENSG00000105968",714,893,788,963
"ENSG00000106066",1749,1738,2453,4380
"ENSG00000106392",525,1192,862,773
"ENSG00000106546",413,562,441,659
"ENSG00000106565",53,930,320,2472
"ENSG00000106780",3317,5132,4603,6459
"ENSG00000106948",10789,13559,13403,10726
"ENSG00000107201",26,65,67,33
"ENSG00000108107",15201,12644,10253,14641
"ENSG00000108244",2486,908,1426,813
"ENSG00000108405",1678,1218,569,961
"ENSG00000108799",2298,2123,2141,1727
"ENSG00000109452",253,1441,619,569
"ENSG00000109743",1352,899,1098,2072
"ENSG00000110079",68,53,85,82
"ENSG00000110203",401,224,204,366
"ENSG00000110367",3165,5552,4176,4445
"ENSG00000110448",1645,3119,1870,1571
"ENSG00000111052",489,633,551,1026
"ENSG00000111203",317,496,410,294
"ENSG00000111331",1658,6373,5791,1339
"ENSG00000111358",195,388,254,290
"ENSG00000111716",1306,1855,965,1676
"ENSG00000112079",3877,4536,4447,4337
"ENSG00000112343",2131,2610,2370,1889
"ENSG00000113088",682,1033,526,1306
"ENSG00000113303",281,297,422,427
"ENSG00000114013",526,691,802,1368
"ENSG00000114126",357,526,451,224
"ENSG00000114302",492,797,751,788
"ENSG00000114450",813,1088,1221,1282
"ENSG00000114779",1099,1058,755,953
"ENSG00000114850",1014,1089,920,1475
"ENSG00000115145",385,567,515,607
"ENSG00000115523",2945,1977,4067,3344
"ENSG00000115590",1411,421,640,1255
"ENSG00000115649",3909,1757,1792,2064
"ENSG00000115828",2177,1277,1208,2631
"ENSG00000115977",949,2744,1923,792
"ENSG00000116667",106,152,315,120
"ENSG00000116729",910,839,363,1865
