,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
ENSG00000003400,1967,2076,1909,1942,2684,1812,1347,1762
ENSG00000003402,8680,9263,8209,7960,12358,8064,5939,8020
ENSG00000005059,1382,1487,1659,1441,2521,2053,1363,1866
ENSG00000007312,564,755,606,917,1625,1153,602,976
ENSG00000010671,2294,2654,2171,2192,3298,2463,1619,2129
ENSG00000011600,6379,10090,6209,5739,8702,5777,4069,6421
ENSG00000019991,249,266,255,234,509,396,267,302
ENSG00000036448,93,99,102,83,94,60,48,68
ENSG00000037757,1548,1721,1797,1776,2320,1640,1255,2045
ENSG00000038427,36744,42914,29824,27355,57697,39204,33775,41622
ENSG00000042980,747,647,673,824,1015,822,398,635
ENSG00000058091,116,125,139,155,286,212,129,179
ENSG00000062282,231,336,228,229,638,352,295,390
ENSG00000064012,3157,3051,3354,2990,5221,3712,2767,3945
ENSG00000066336,6539,10914,6015,5659,10621,7327,5659,7951
ENSG00000073756,190,268,165,204,3397,1715,145,168
ENSG00000081041,16,10,11,10,18,9,8,13
ENSG00000081189,1571,1611,1395,1238,2227,1641,965,1426
ENSG00000083454,256,284,318,452,789,606,362,455
ENSG00000085265,48316,66157,43123,39864,77336,53180,39667,56597
ENSG00000087266,10557,13942,10038,9856,13141,9122,6803,9371
ENSG00000089012,655,749,817,913,1085,889,668,978
ENSG00000090376,5733,5480,4468,4197,6546,4557,3417,4231
ENSG00000090382,109596,128729,99966,80294,172071,116600,87809,123916
ENSG00000095585,284,297,287,371,581,428,209,317
ENSG00000100031,6,9,8,14,8,7,5,14
ENSG00000100368,4366,6110,4320,4188,8445,5433,3452,5352
ENSG00000100450,1892,2178,1623,1647,590,379,322,533
ENSG00000100473,78,83,96,116,103,79,58,83
ENSG00000100721,398,430,418,591,599,432,247,359
ENSG00000100985,78,96,74,92,261,150,101,154
ENSG00000101109,7135,6699,7404,6648,8915,6428,4969,6326
ENSG00000101307,2454,2909,2162,1765,3260,2136,1827,2229
ENSG00000101336,5871,9303,5298,5091,9706,6383,4779,6506
ENSG00000101347,15414,18484,15316,14179,21318,15488,10676,14780
ENSG00000101439,6494,10691,5731,6045,12667,8678,6356,9409
ENSG00000101695,2585,2237,2558,2338,2993,2352,1524,2251
ENSG00000101916,2280,2648,2019,1861,3354,2360,1824,2314
ENSG00000102158,1343,1366,1370,1237,1937,1380,929,1268
ENSG00000102245,677,558,768,792,1150,824,786,1025
ENSG00000102445,316,375,313,454,1007,786,399,594
ENSG00000102910,2907,2905,3103,3004,4090,3284,2390,3273
ENSG00000103485,126,112,107,103,134,84,76,88
ENSG00000103569,858,1347,804,690,2872,1253,967,1196
ENSG00000104687,1471,1730,1451,1433,2008,1342,1150,1292
ENSG00000104921,224,294,215,390,722,472,299,438
ENSG00000104974,2910,4166,2655,2372,5247,3534,2780,3507
ENSG00000105352,389,463,363,372,683,393,388,462
ENSG00000105369,832,1054,907,1561,2631,1867,970,1812
ENSG00000105501,0,0,0,0,0,0,0,0
ENSG00000106066,4244,5736,3976,3678,5929,4486,3061,3940
ENSG00000106546,861,883,855,792,1935,1650,706,990
ENSG00000106565,91,114,69,61,906,680,494,722
ENSG00000108244,20,22,21,12,82,21,23,22
ENSG00000108405,1207,1270,1033,1107,2471,1746,1311,1853
ENSG00000109452,1496,1209,1770,1706,2597,2159,1437,2123
ENSG00000110079,136,137,105,99,176,124,76,108
ENSG00000110203,109,196,93,90,185,117,127,158
ENSG00000110448,2657,2854,3511,3408,4846,3744,2972,4667
ENSG00000111052,355,441,393,314,653,370,286,334
ENSG00000111716,1708,1624,2142,2124,2596,2090,1592,2288
ENSG00000113088,658,537,775,787,1849,1249,879,1375
ENSG00000113303,4,7,5,0,34,11,2,3
ENSG00000114013,1640,1695,1417,1195,2543,1736,1222,1757
ENSG00000114779,1289,1396,1356,1456,1800,1416,1151,1622
ENSG00000114850,1761,1683,1775,1595,2285,1650,1126,1541
ENSG00000115523,13850,16012,12700,13780,8013,4580,4168,7780
ENSG00000115590,69,102,48,69,124,33,20,35
ENSG00000115828,468,574,494,398,1097,616,601,742
ENSG00000116667,710,597,537,517,383,222,217,373
ENSG00000116729,363,443,291,326,556,330,315,400
ENSG00000116791,311,253,297,298,811,599,379,597
ENSG00000117115,1252,1587,1219,1097,2671,1514,1379,1903
ENSG00000119457,716,1081,631,450,784,525,420,586
ENSG00000119535,12030,15496,11466,11180,19651,10553,9129,12777
ENSG00000119616,881,852,940,843,1216,857,620,910
ENSG00000119866,330,321,315,335,483,371,216,318
ENSG00000120594,2348,2889,2048,1680,3571,2582,1706,2270
ENSG00000120802,3098,3007,3401,2978,4526,3411,2476,3217
ENSG00000120868,3035,3032,2876,2555,3539,2438,2174,2577
ENSG00000121316,4518,5926,4163,3583,7743,5102,4244,5192
ENSG00000121552,1123,1339,1115,921,2417,1479,1068,1370
ENSG00000123405,1160,1799,1107,1140,2036,1268,1209,1468
ENSG00000123610,15,24,13,14,133,46,38,56
ENSG00000123689,50,79,23,42,808,187,14,38
ENSG00000124102,2,16,2,14,61,15,2,1
ENSG00000124491,2663,3337,2518,2146,3557,2501,1984,2433
ENSG00000124731,926,960,701,701,2429,1375,522,909
ENSG00000124772,271,325,285,584,668,535,278,493
ENSG00000125538,134,207,117,140,759,636,88,136
ENSG00000126353,3496,3373,4240,4664,5715,4207,3656,5008
ENSG00000127954,769,987,739,590,1904,1115,1056,984
ENSG00000128218,40,63,65,80,128,75,38,67
ENSG00000128383,806,1260,853,671,2569,1431,699,969
ENSG00000128918,1,2,1,1,3,0,1,2
ENSG00000129226,9270,13083,7977,7917,10971,7509,6114,8629
ENSG00000131042,9465,12589,7816,7181,12171,7528,5323,7475
ENSG00000131355,322,259,282,288,623,342,246,344
ENSG00000131401,0,0,0,0,0,0,0,0
ENSG00000131724,2270,2819,2182,1983,2905,2115,1566,1982
ENSG00000132185,200,201,190,289,734,465,252,383
ENSG00000132465,1466,1324,1821,4354,3104,2657,1165,2769
ENSG00000133048,43,52,57,82,235,162,49,104
ENSG00000134086,2905,2942,3053,2721,3872,2753,2104,2931
ENSG00000134539,5859,5218,5082,5118,4046,2479,2118,3158
ENSG00000135218,5182,6008,5576,5073,8477,6365,4546,5209
ENSG00000135636,1318,2418,1198,1168,3294,1671,1394,1797
ENSG00000135679,1574,1370,1528,1421,2378,1602,1085,1321
ENSG00000136111,3078,2506,3865,3742,4213,3459,2469,3445
ENSG00000136573,615,721,655,1040,1578,1185,549,922
ENSG00000136689,370,552,383,362,850,625,481,577
ENSG00000136869,3343,3558,3071,2419,5211,3841,2450,3037
ENSG00000137078,547,589,670,710,887,673,546,836
ENSG00000137462,2994,3503,2497,2644,5394,4128,3130,3368
ENSG00000138061,1605,1753,1427,1151,2986,1965,1449,1937
ENSG00000138119,1318,2114,1239,1246,2219,1494,913,1051
ENSG00000138378,2245,1999,2286,2079,2633,1901,1468,2161
ENSG00000138639,316,382,295,315,463,277,168,289
ENSG00000138772,31,22,49,37,172,97,45,70
ENSG00000138795,5028,4428,6316,6044,7405,6133,4889,6426
ENSG00000139193,1723,1812,2104,2414,2789,2092,1697,2522
ENSG00000140199,4122,3972,4192,4384,6663,4665,3630,4885
ENSG00000140511,925,1338,1416,1239,1735,1266,910,1408
ENSG00000140932,32,34,24,22,153,43,37,33
ENSG00000143226,2074,3193,1894,1633,3937,2458,1416,1967
ENSG00000143546,10390,14207,10415,7827,24132,15929,11902,16657
ENSG00000146094,3672,5182,3137,3042,4896,3157,2834,3784
ENSG00000146223,1558,1590,1605,1404,2105,1467,1195,1700
ENSG00000146592,1482,1927,1315,987,2671,1703,1362,1573
ENSG00000148926,85,83,57,41,245,73,50,92
ENSG00000149131,106,362,121,86,319,223,54,66
ENSG00000150337,90,306,104,81,469,304,170,163
ENSG00000151948,873,1337,802,726,1631,1061,749,984
ENSG00000152495,2426,1921,3117,3075,3999,3624,2660,3291
ENSG00000152672,25,20,28,37,243,199,125,170
ENSG00000153064,612,622,726,904,1608,1120,551,834
ENSG00000153563,1789,1935,1893,2130,3305,2258,1822,2541
ENSG00000154589,256,256,246,226,433,262,188,221
ENSG00000154928,45,28,26,42,47,31,20,34
ENSG00000156738,2142,1952,2261,3211,7638,6118,2791,3897
ENSG00000157551,100,172,76,77,432,138,96,79
ENSG00000157978,5461,5330,6734,7542,6995,5427,4540,6479
ENSG00000158473,2457,2880,2264,1847,2901,1834,1279,1867
ENSG00000158481,473,487,507,579,749,533,300,505
ENSG00000158517,1184,2488,1275,1152,3359,2109,1328,2043
ENSG00000158825,457,587,413,405,1250,737,591,975
ENSG00000159713,158,195,190,165,319,208,149,203
ENSG00000160654,1587,1383,2017,1824,2863,2042,1655,2092
ENSG00000160883,7481,10895,6535,6540,11249,7040,5420,8036
ENSG00000162496,532,556,606,563,746,523,416,603
ENSG00000162551,3,12,3,14,378,46,12,13
ENSG00000162654,2371,3648,2942,2227,4816,2992,1502,1891
ENSG00000162747,55,108,26,113,2191,334,80,96
ENSG00000163131,36735,48126,35079,28595,61418,43759,28472,39273
ENSG00000163220,27986,43210,28256,24941,66981,41160,32746,42764
ENSG00000163221,1310,1843,1341,1113,2541,1685,1325,1607
ENSG00000163421,74,80,59,58,430,190,112,160
ENSG00000163464,224,251,158,242,855,156,94,95
ENSG00000163519,948,747,1091,977,1692,1243,849,1145
ENSG00000163534,895,985,986,1393,2455,1895,921,1359
