,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,False,False,False,False,False,False,False,True
11:65777051:-,False,False,False,True,False,False,False,False
11:74455855:-,False,True,True,False,False,False,False,False
12:10315315:+,False,True,False,False,False,True,False,False
12:10315372:+,False,False,False,False,False,False,False,False
12:10315861:+,False,False,False,False,False,True,True,False
12:10315997:+,True,False,False,False,False,True,False,False
12:10316495:+,False,False,False,False,False,True,True,False
12:50930855:+,False,False,False,False,False,True,False,True
12:68843748:+,False,False,True,False,False,False,True,False
12:98548842:+,False,False,False,False,False,False,False,False
12:98549324:+,False,True,False,False,False,False,True,False
12:98735013:+,False,False,False,False,False,False,False,False
13:19672218:+,True,False,False,True,False,False,False,False
13:19672882:+,False,False,False,False,False,False,False,False
13:19672883:+,False,False,False,False,False,False,False,True
13:19672934:+,False,False,False,False,False,True,False,False
14:20367026:-,False,False,False,False,False,True,False,False
14:74735840:+,False,False,False,False,False,False,True,False
15:34231753:-,False,False,True,False,False,False,False,False
16:29667654:+,False,False,False,False,False,False,False,False
16:29668564:+,False,False,False,False,False,False,False,False
16:29668965:+,False,False,False,False,False,True,False,False
16:29669000:+,False,False,False,False,False,False,False,False
16:29669624:+,False,False,False,False,True,False,False,True
16:29669981:+,False,True,False,False,False,False,False,False
16:29670049:+,False,False,False,False,False,False,False,False
16:29670138:+,False,False,True,False,False,False,True,False
16:29670367:+,True,False,False,False,False,True,False,False
16:29670438:+,False,False,False,False,True,False,False,True
16:48352442:+,True,False,False,False,False,True,False,False
17:35271152:+,False,False,False,False,False,False,False,False
17:35468849:-,False,False,False,False,False,False,True,False
17:64322996:-,True,False,True,False,False,False,False,False
18:32072155:+,False,False,False,False,False,False,False,False
19:13773208:+,False,False,False,True,False,False,False,False
19:13773924:+,True,False,False,False,True,False,False,False
19:17553031:+,False,False,False,True,False,False,True,False
19:38868387:-,True,False,False,True,False,False,False,False
19:5909608:+,False,False,True,False,True,False,False,False
1:150731136:-,False,False,False,False,False,False,False,False
1:150731221:-,False,False,False,False,False,False,False,False
1:150731275:-,False,False,False,False,False,False,False,False
1:150731310:-,False,False,False,False,False,False,False,False
1:150731936:-,False,False,False,False,False,False,False,False
1:150731999:-,False,False,False,False,False,False,False,False
1:150732136:-,False,False,False,True,False,False,False,False
1:150732159:-,False,False,False,False,False,False,False,False
1:150732177:-,False,False,False,True,False,False,False,False
1:150732771:-,False,False,False,False,False,True,False,False
1:1663537:-,False,False,False,False,False,False,False,True
1:1664100:-,False,False,False,False,False,False,True,False
1:204555737:+,False,False,False,False,False,False,False,True
1:204556512:+,False,False,False,True,False,False,False,False
1:204557531:+,False,False,False,False,False,False,False,False
1:89183643:-,False,False,False,True,False,False,False,False
1:89183695:-,False,False,True,False,False,False,False,False
20:36892573:-,False,False,False,False,False,False,False,False
20:37519169:-,False,False,False,False,True,False,False,False
20:45079067:+,False,False,False,False,False,False,False,False
20:45079200:+,False,False,False,False,False,False,False,False
21:33264782:+,False,False,False,True,False,False,False,False
22:17110376:+,False,False,True,False,False,False,False,False
22:17113458:+,True,False,False,False,False,True,False,False
22:24573660:+,False,False,False,True,False,False,True,False
22:39018766:+,False,False,False,False,False,False,False,False
22:39018906:+,False,False,False,False,False,False,False,False
22:39019866:+,False,False,False,False,False,False,False,False
22:39020075:+,False,False,False,False,False,True,False,False
22:39032721:+,True,False,False,False,False,False,True,False
22:39032848:+,False,False,False,False,False,True,True,False
2:201164009:+,False,False,False,False,True,False,True,False
2:201164143:+,False,False,False,False,True,True,False,False
2:201219194:+,False,True,False,False,False,False,True,False
2:201286638:+,False,False,False,False,False,False,False,False
2:201287382:+,False,False,False,False,False,False,False,False
3:10151790:+,False,False,False,False,False,True,False,False
3:10152309:+,False,False,False,False,False,False,False,False
3:10152592:+,True,False,False,True,False,False,False,False
3:10152688:+,False,False,False,False,False,False,False,False
3:10152870:+,False,False,False,False,False,False,False,False
3:10152908:+,False,False,False,True,False,False,True,False
3:10153156:+,False,False,False,False,False,True,False,True
3:10153205:+,False,False,False,False,False,True,False,False
3:156541617:-,False,False,False,True,False,True,False,False
4:2839693:+,False,False,False,False,True,False,True,False
4:2839824:+,False,False,False,True,False,False,True,False
6:42889292:+,False,False,False,False,False,False,False,False
7:17345193:+,True,False,False,True,False,False,False,False
7:17345207:+,False,False,False,True,False,False,False,False
7:17345257:+,False,False,False,False,False,False,True,True
7:44801919:+,True,False,False,False,False,False,True,False
7:44802499:+,True,False,False,False,False,True,False,False
8:11842853:-,False,False,False,False,False,False,False,False
8:11842909:-,False,False,False,False,False,False,False,False
8:11843166:-,False,False,False,False,False,False,False,False
8:11843919:-,False,False,False,False,False,True,False,False
8:11843931:-,False,False,False,False,False,False,False,False
8:11843948:-,False,False,False,False,False,False,False,False
8:11843999:-,False,False,True,True,False,False,False,False
8:30678633:-,False,False,False,False,False,False,False,False
8:38971825:+,False,False,True,False,False,False,True,False
8:38972234:+,False,False,False,True,False,False,False,False
8:38972255:+,False,False,False,True,False,True,False,False
9:134906167:-,False,False,False,False,False,False,True,False
X:15782971:+,True,False,True,False,False,False,False,False
X:77828119:-,False,False,False,True,False,True,False,False
