,SRR1550986,SRR1550987,SRR1550988,SRR1550989,SRR1550990,SRR1550991,SRR1551047,SRR1551048,SRR1551049,SRR1551050,SRR1551051,SRR1551052,SRR1551054,SRR1551055,SRR1551056,SRR1551057,SRR1551058,SRR1551059,SRR1551068,SRR1551069,SRR1551070,SRR1551071,SRR1551072,SRR1551073
ENSG00000000003,0,0,0,22,12,1,0,0,1,57,33,4,0,0,0,31,11,1,0,0,3,26,19,3
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,290,231,213,235,242,134,393,296,269,550,332,329,339,285,429,375,400,339,408,205,326,349,525,315
ENSG00000000457,251,135,455,339,211,131,304,118,384,688,369,354,393,123,525,422,254,281,323,89,327,360,291,267
ENSG00000000460,20,48,92,42,47,38,14,55,127,115,84,129,38,32,178,74,69,81,17,38,100,89,66,65
ENSG00000000938,18800,19277,1576,20,571,4431,16408,21160,2474,26,696,11343,19991,19200,3320,415,2718,8556,25520,15857,3191,35,1014,7012
ENSG00000000971,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,8,2,0
ENSG00000001036,16,736,69,113,86,118,38,1139,140,152,71,274,35,1068,180,120,100,290,70,925,142,115,95,210
ENSG00000001084,9,361,183,248,240,230,13,431,283,463,311,629,12,412,435,377,380,544,26,300,262,249,315,399
ENSG00000001167,1123,872,1157,827,700,417,1678,1073,968,1248,994,982,1782,891,1606,1026,943,959,1844,732,1031,1037,1125,814
ENSG00000001460,12,10,54,55,40,3,8,5,70,103,70,10,2,5,99,87,50,13,9,8,74,52,50,5
ENSG00000001461,15,103,583,1127,684,220,34,118,488,1843,1066,519,14,121,775,1515,923,590,20,67,456,1308,974,366
ENSG00000001497,13,284,641,576,493,238,15,389,884,1231,756,636,29,378,1113,769,586,503,41,315,635,766,691,470
ENSG00000001561,40,74,219,146,198,593,13,56,326,213,211,1098,7,115,480,258,417,668,7,35,249,144,226,729
ENSG00000001617,0,9,1,1,0,2,3,16,0,0,0,0,0,8,0,1,1,0,2,5,1,3,1,2
ENSG00000001626,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,160,486,662,582,468,391,159,481,626,942,722,1027,197,436,970,747,640,785,225,407,647,663,722,905
ENSG00000001630,0,22,28,17,24,44,2,18,23,17,12,71,2,20,41,20,35,46,4,31,42,25,61,59
ENSG00000001631,19,63,96,112,100,78,23,56,115,210,145,148,19,56,167,144,104,105,13,54,108,90,113,100
ENSG00000002016,18,54,197,146,120,69,31,95,265,325,197,149,50,88,386,231,165,146,41,64,184,187,168,123
ENSG00000002330,126,184,140,124,119,82,219,197,182,310,160,201,212,192,326,236,193,191,233,202,174,179,191,139
ENSG00000002549,211,1843,304,290,281,249,1628,2686,397,611,359,648,919,3007,631,471,408,531,755,2712,353,440,494,609
ENSG00000002586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000002587,0,1,328,0,0,1,0,0,130,1,0,2,0,4,338,0,0,3,0,3,119,0,0,1
ENSG00000002726,4,4,0,0,0,0,124,9,0,0,0,0,4,1,0,0,0,5,169,16,0,0,0,0
ENSG00000002745,1,0,93,5,1,0,0,0,136,4,4,6,0,1,138,3,0,0,0,0,95,1,0,0
ENSG00000002746,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000002822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002834,8927,5241,1908,1924,1637,2851,11379,4508,1902,2841,1827,6180,10723,4838,2637,2496,3010,5325,12228,4407,1575,1899,2020,3965
