sample_id,cellType,SubjectName
SRR1550986,Neutrophils,44
SRR1550987,Monocytes,44
SRR1550988,Bcells,44
SRR1550989,CD4,44
SRR1550990,CD8,44
SRR1550991,NK,44
SRR1551047,Neutrophils,20
SRR1551048,Monocytes,20
SRR1551049,Bcells,20
SRR1551050,CD4,20
SRR1551051,CD8,20
SRR1551052,NK,20
SRR1551054,Neutrophils,21
SRR1551055,Monocytes,21
SRR1551056,Bcells,21
SRR1551057,CD4,21
SRR1551058,CD8,21
SRR1551059,NK,21
SRR1551068,Neutrophils,53
SRR1551069,Monocytes,53
SRR1551070,Bcells,53
SRR1551071,CD4,53
SRR1551072,CD8,53
SRR1551073,NK,53
