,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,0.2758620689655172,0.09375,0.3125,0.1724137931034483,0.1666666666666666,0.2083333333333333,0.2307692307692307,0.0
11:65777051:-,0.2,0.2631578947368421,0.16,0.0,0.18,0.1153846153846153,0.2,0.2
11:74455855:-,0.1162790697674418,0.0,0.0,0.125,0.131578947368421,0.1538461538461538,0.1851851851851851,0.1111111111111111
12:10315315:+,0.1590909090909091,0.0,0.1886792452830188,0.1944444444444444,0.1,0.0,0.1578947368421052,0.0701754385964912
12:10315372:+,0.22,0.1304347826086956,0.12,0.0869565217391304,0.12,0.24,0.1904761904761904,0.1034482758620689
12:10315861:+,0.125,0.1627906976744186,0.125,0.2075471698113207,0.1666666666666666,0.0,0.0,0.1538461538461538
12:10315997:+,0.0,0.15625,0.1034482758620689,0.2258064516129032,0.2777777777777778,0.0,0.2727272727272727,0.1764705882352941
12:10316495:+,0.1627906976744186,0.1666666666666666,0.238095238095238,0.1219512195121951,0.16,0.0,0.0,0.25
12:50930855:+,0.1578947368421052,0.1702127659574468,0.15,0.1142857142857142,0.123076923076923,0.0,0.1428571428571428,0.0
12:68843748:+,0.1428571428571428,0.2666666666666666,0.0,0.1428571428571428,0.2,0.3125,0.0,0.2
12:98548842:+,0.1492537313432835,0.1136363636363636,0.1428571428571428,0.1,0.1647058823529411,0.0566037735849056,0.2222222222222222,0.1290322580645161
12:98549324:+,0.09375,0.0,0.08,0.0714285714285714,0.088235294117647,0.12,0.0,0.1081081081081081
12:98735013:+,0.1904761904761904,0.0847457627118644,0.1964285714285714,0.1463414634146341,0.0833333333333333,0.1956521739130435,0.119047619047619,0.0925925925925925
13:19672218:+,0.0,0.0909090909090909,0.2045454545454545,0.0,0.21875,0.2222222222222222,0.1538461538461538,0.1282051282051282
13:19672882:+,0.2682926829268293,0.2,0.1555555555555555,0.2040816326530612,0.2222222222222222,0.2641509433962264,0.1875,0.24
