site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,True,True,True,True,True,True,True,
12:50930855:+,False,False,False,True,True,False,True,False
12:98548842:+,False,False,False,True,True,True,,True
12:98549324:+,False,False,False,,,,,
12:98735013:+,,,,False,False,,,False
13:19672218:+,False,False,False,False,True,True,True,
13:19672882:+,False,False,False,True,True,True,True,True
13:19672883:+,False,False,False,,,,True,
13:19672934:+,False,False,False,True,True,False,True,True
14:20367026:-,True,True,True,True,True,,True,
14:74735840:+,False,,False,,,True,False,
15:34231753:-,True,True,False,True,True,True,True,
16:48352442:+,False,False,False,,,False,True,True
17:64322996:-,,,,False,,,,
19:13773208:+,False,False,False,,,,,True
19:13773924:+,False,False,,,False,,True,
19:17553031:+,True,True,True,False,True,True,False,True
19:5909608:+,False,False,False,,,,,
1:150731136:-,False,False,False,False,False,,False,
1:150731275:-,False,False,False,False,False,False,False,
1:150731310:-,False,False,,,,False,False,False
1:150731936:-,,,False,False,False,,False,
1:150731999:-,,False,False,False,False,False,False,False
1:150732136:-,False,False,,False,False,,,
1:150732159:-,,False,False,False,False,False,False,False
1:150732771:-,False,False,False,False,False,False,False,False
1:1663537:-,True,True,True,True,,,True,False
1:1664100:-,True,True,True,True,True,,False,
1:204555737:+,True,True,True,True,,True,True,
1:204556512:+,True,,True,False,,True,True,True
1:204557531:+,True,True,True,True,,True,,
1:89183643:-,False,,,,False,,False,
1:89183695:-,,,,,,False,,
20:37519169:-,True,True,True,True,False,True,True,True
20:45079067:+,False,False,False,True,True,True,False,True
20:45079200:+,False,False,False,True,True,True,False,True
21:33264782:+,,,False,,True,,,
22:24573660:+,False,False,False,,True,,,
22:39018766:+,True,True,True,True,True,True,True,True
22:39018906:+,True,True,True,True,True,True,True,True
22:39019866:+,True,True,True,True,True,True,True,True
22:39020075:+,,True,True,True,True,False,True,
22:39032721:+,False,True,True,True,True,True,False,True
22:39032848:+,True,True,True,True,True,False,False,True
2:201164009:+,False,,,False,,,,
2:201164143:+,,False,False,False,,,,
2:201219194:+,,False,False,,True,True,False,
2:201286638:+,,,False,,True,True,True,True
2:201287382:+,False,False,False,True,True,True,True,True
3:10151790:+,True,True,True,True,,False,True,True
3:10152309:+,True,True,True,True,,,True,
3:10152592:+,,,True,False,,True,True,True
3:10152688:+,True,True,True,True,True,True,True,
3:10152870:+,True,True,True,True,True,True,True,True
3:10152908:+,True,True,True,,True,,False,True
3:10153156:+,,True,True,True,,,True,False
3:10153205:+,,True,True,True,True,False,True,True
3:156541617:-,,,False,,,,False,
6:42889292:+,False,False,False,,,,True,
7:44801919:+,False,True,,True,True,True,False,
7:44802499:+,False,True,True,,True,False,,
8:11842853:-,,,,,,,,False
8:11843931:-,,False,,,False,,False,
8:11843948:-,False,,,,False,,,
8:11843999:-,,False,,,,,,
8:30678633:-,,,False,,,,,
8:38971825:+,True,True,False,True,True,True,False,True
8:38972234:+,True,True,True,False,True,True,True,True
8:38972255:+,,True,True,False,True,False,,True
