,SRR1550981,SRR1551053,SRR1551060,SRR1551074
10:100232436:-,0.0,0.0,0.0,0.0
10:100232925:-,0.0,0.0,0.23529411764705882,0.0
10:100232926:-,0.0,0.0,0.0,0.0
10:100233035:-,0.0,0.0,0.0,0.0
10:100233052:-,0.2692307692307692,0.0,0.0,0.0
10:100233090:-,0.0,0.0,0.0,0.0
10:12831014:+,0.0,0.0,0.0,0.0
10:12833566:+,0.0,0.0,0.0,0.0
10:14907006:-,0.0,0.0,0.0,0.0
10:20284377:+,0.0,0.0,0.0,0.0
10:3778225:-,0.0,0.0,0.0,0.0
10:49988823:+,0.0,0.0,0.0,0.0
10:70404397:+,0.0,0.0,0.057692307692307696,0.0
10:70422696:+,0.0,0.0,0.0,0.0
10:72234070:+,0.0,0.0,0.0,0.0
10:72234878:+,0.0,0.11538461538461539,0.0,0.0
10:72234933:+,0.23076923076923078,0.2,0.0,0.0
10:72234948:+,0.0,0.0,0.0,0.0
10:72234954:+,0.0,0.0,0.0,0.0
10:72235003:+,0.0,0.0,0.0,0.0
10:72235379:+,0.0,0.0,0.0,0.0
10:73249117:-,0.11538461538461539,0.19047619047619047,0.0,0.15
10:73250083:-,0.25,0.0,0.36363636363636365,0.0
10:73250156:-,0.0,0.0,0.0,0.0
10:97664917:+,0.0,0.0,0.0,0.0
11:102396871:-,0.0,0.0,0.0,0.0
11:108365741:+,0.0,0.0,0.1111111111111111,0.0
11:108365793:+,0.0,0.0,0.0,0.0
11:108365977:+,0.0,0.0,0.0,0.0
11:108367126:+,0.0,0.0,0.0,0.0
11:108367193:+,0.0,0.0,0.0,0.0
11:108367225:+,0.0,0.06976744186046512,0.1282051282051282,0.0
11:108367229:+,0.0,0.0,0.0,0.0
11:108367260:+,0.0,0.0,0.10526315789473684,0.0
11:118748642:-,0.05813953488372093,0.0,0.0,0.0
11:118898246:-,0.0,0.0,0.0,0.0
11:44934804:-,0.0,0.0,0.0,0.0
11:46678959:-,0.0,0.0,0.0,0.0
11:61007594:+,0.0,0.0,0.0,0.0
11:64219582:+,0.0,0.0,0.0,0.0
11:64307330:+,0.0,0.0,0.0,0.0
11:65321908:+,0.11320754716981132,0.0,0.0,0.1111111111111111
11:65375817:-,0.23076923076923078,0.0,0.0,0.0
11:65375897:-,0.0,0.0,0.0,0.0
11:65375978:-,0.0,0.0,0.0,0.0
11:65581686:+,0.0,0.0,0.0,0.0
11:65774507:-,0.0,0.0,0.0,0.0
11:65774548:-,0.0,0.14285714285714285,0.0,0.0
11:65774680:-,0.07142857142857142,0.0,0.0,0.0
11:65774681:-,0.0,0.0,0.0,0.0
11:65775818:-,0.0,0.0,0.0,0.0
11:65775919:-,0.0,0.0,0.0,0.0
11:65775920:-,0.0,0.0,0.0,0.0
11:65775966:-,0.21428571428571427,0.0,0.0,0.0
11:65775986:-,0.0,0.0,0.0,0.0
11:65776157:-,0.0,0.0,0.0,0.0
11:65776162:-,0.0,0.0,0.23529411764705882,0.0
11:65776696:-,0.0,0.0,0.0,0.13043478260869565
11:65776882:-,0.0,0.0,0.0,0.0
11:65776893:-,0.0,0.0,0.0,0.0
11:65776909:-,0.16,0.19230769230769232,0.0,0.0
11:65776910:-,0.3181818181818182,0.0,0.0,0.0
11:65776954:-,0.0,0.0,0.0,0.0
11:65776988:-,0.0,0.0,0.0,0.0
11:65776998:-,0.0,0.19047619047619047,0.0,0.0
11:65777013:-,0.0,0.0,0.0,0.0
11:65777018:-,0.19230769230769232,0.0,0.14285714285714285,0.0
11:65777031:-,0.18181818181818182,0.14285714285714285,0.14285714285714285,0.0
11:65777051:-,0.3076923076923077,0.25,0.0,0.0
11:65777103:-,0.0,0.0,0.0,0.0
11:74455756:-,0.0,0.0,0.0,0.0
11:74455855:-,0.1111111111111111,0.0,0.0,0.1702127659574468
11:74455865:-,0.07692307692307693,0.0,0.0,0.0
11:74456110:-,0.0,0.0,0.1111111111111111,0.0
11:74456209:-,0.0,0.0,0.0,0.0
11:769402:-,0.0,0.0,0.0,0.0
11:769448:-,0.0,0.0,0.0,0.0
11:769458:-,0.0,0.0,0.0,0.0
11:769894:-,0.0,0.0,0.0,0.0
11:83157398:+,0.0,0.0,0.0,0.0
11:8686359:+,0.0,0.0,0.0,0.0
11:8686369:+,0.0,0.0,0.0,0.0
11:8686404:+,0.0,0.0,0.0,0.0
11:8687341:+,0.0,0.0,0.0,0.0
11:93735604:-,0.0,0.0,0.0,0.0
11:93735629:-,0.0,0.0,0.0,0.0
12:10315185:+,0.0,0.0,0.0,0.0
12:10315251:+,0.0,0.0,0.125,0.0
12:10315315:+,0.0,0.0,0.1111111111111111,0.0
12:10315360:+,0.0,0.0,0.0,0.0
12:10315372:+,0.0,0.0,0.09375,0.0
12:10315387:+,0.0,0.0,0.0,0.0
