,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,29.0,32.0,16.0,29.0,24.0,24.0,13.0,0.0
11:65777051:-,15.0,19.0,25.0,0.0,50.0,26.0,15.0,20.0
11:74455855:-,43.0,0.0,0.0,24.0,38.0,26.0,27.0,36.0
12:10315315:+,44.0,0.0,53.0,36.0,40.0,0.0,19.0,57.0
12:10315372:+,50.0,46.0,50.0,46.0,50.0,25.0,21.0,29.0
12:10315861:+,48.0,43.0,24.0,53.0,24.0,0.0,0.0,26.0
12:10315997:+,0.0,32.0,29.0,31.0,18.0,0.0,11.0,17.0
12:10316495:+,43.0,48.0,42.0,41.0,25.0,0.0,0.0,16.0
12:50930855:+,38.0,47.0,40.0,35.0,65.0,0.0,35.0,0.0
12:68843748:+,28.0,15.0,0.0,21.0,25.0,16.0,0.0,15.0
12:98548842:+,67.0,44.0,56.0,40.0,85.0,53.0,36.0,62.0
12:98549324:+,32.0,0.0,50.0,56.0,34.0,25.0,0.0,37.0
12:98735013:+,42.0,59.0,56.0,41.0,72.0,46.0,42.0,54.0
13:19672218:+,0.0,33.0,44.0,0.0,32.0,18.0,26.0,39.0
13:19672882:+,41.0,35.0,45.0,49.0,63.0,53.0,32.0,50.0
13:19672883:+,40.0,39.0,52.0,53.0,70.0,53.0,35.0,0.0
13:19672934:+,57.0,64.0,57.0,63.0,74.0,0.0,55.0,41.0
14:20367026:-,27.0,22.0,26.0,23.0,33.0,0.0,20.0,20.0
14:74735840:+,33.0,21.0,28.0,22.0,37.0,17.0,0.0,32.0
15:34231753:-,30.0,27.0,0.0,34.0,49.0,26.0,20.0,47.0
16:29667654:+,78.0,93.0,77.0,80.0,70.0,31.0,40.0,47.0
16:29668564:+,49.0,46.0,42.0,41.0,46.0,42.0,32.0,36.0
16:29668965:+,41.0,32.0,41.0,31.0,49.0,0.0,35.0,30.0
16:29669000:+,48.0,46.0,44.0,31.0,65.0,35.0,43.0,48.0
16:29669624:+,31.0,28.0,36.0,34.0,0.0,15.0,29.0,0.0
16:29669981:+,91.0,0.0,94.0,89.0,87.0,44.0,50.0,79.0
16:29670049:+,86.0,107.0,79.0,79.0,105.0,54.0,55.0,93.0
16:29670138:+,86.0,75.0,0.0,100.0,87.0,47.0,0.0,74.0
16:29670367:+,0.0,72.0,76.0,69.0,88.0,0.0,59.0,76.0
16:29670438:+,82.0,75.0,98.0,70.0,0.0,53.0,59.0,0.0
16:48352442:+,0.0,28.0,37.0,31.0,48.0,0.0,24.0,27.0
17:35271152:+,33.0,36.0,38.0,37.0,27.0,26.0,20.0,38.0
17:35468849:-,21.0,34.0,29.0,25.0,43.0,36.0,0.0,28.0
17:64322996:-,0.0,81.0,0.0,62.0,108.0,73.0,48.0,78.0
18:32072155:+,49.0,26.0,32.0,33.0,54.0,37.0,21.0,49.0
19:13773208:+,31.0,23.0,18.0,0.0,50.0,23.0,26.0,32.0
19:13773924:+,0.0,33.0,36.0,27.0,0.0,19.0,19.0,28.0
19:17553031:+,16.0,16.0,19.0,0.0,36.0,23.0,0.0,17.0
19:38868387:-,0.0,18.0,27.0,0.0,37.0,36.0,30.0,43.0
19:5909608:+,25.0,28.0,0.0,21.0,0.0,21.0,19.0,23.0
1:150731136:-,106.0,127.0,125.0,77.0,126.0,76.0,62.0,103.0
1:150731221:-,65.0,53.0,56.0,43.0,88.0,47.0,45.0,67.0
1:150731275:-,158.0,190.0,131.0,115.0,155.0,108.0,90.0,125.0
1:150731310:-,146.0,191.0,150.0,134.0,279.0,170.0,142.0,175.0
1:150731936:-,186.0,209.0,202.0,147.0,263.0,178.0,157.0,191.0
1:150731999:-,138.0,152.0,133.0,116.0,189.0,135.0,112.0,135.0
1:150732136:-,230.0,280.0,207.0,0.0,326.0,191.0,176.0,241.0
1:150732159:-,230.0,278.0,208.0,213.0,335.0,195.0,204.0,246.0
1:150732177:-,202.0,259.0,204.0,0.0,315.0,189.0,201.0,228.0
1:150732771:-,859.0,1004.0,794.0,604.0,1146.0,0.0,670.0,958.0
1:1663537:-,58.0,70.0,53.0,60.0,41.0,33.0,33.0,0.0
1:1664100:-,29.0,33.0,26.0,27.0,26.0,13.0,0.0,21.0
1:204555737:+,21.0,25.0,21.0,33.0,21.0,19.0,13.0,0.0
1:204556512:+,31.0,32.0,24.0,0.0,30.0,29.0,21.0,29.0
1:204557531:+,21.0,25.0,23.0,23.0,54.0,19.0,21.0,26.0
1:89183643:-,36.0,54.0,42.0,0.0,71.0,28.0,31.0,29.0
1:89183695:-,37.0,58.0,0.0,28.0,71.0,48.0,30.0,19.0
20:36892573:-,249.0,276.0,278.0,216.0,314.0,182.0,172.0,258.0
20:37519169:-,41.0,66.0,57.0,49.0,0.0,32.0,38.0,50.0
20:45079067:+,88.0,51.0,82.0,70.0,82.0,37.0,51.0,65.0
20:45079200:+,53.0,48.0,52.0,50.0,75.0,51.0,43.0,54.0
21:33264782:+,26.0,36.0,30.0,0.0,33.0,34.0,28.0,32.0
22:17110376:+,109.0,129.0,0.0,92.0,152.0,73.0,93.0,102.0
