site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,0.2666666666666666,0.1818181818181818,0.1162790697674418,0.15625,0.3636363636363636,0.1538461538461538,0.1290322580645161,0.25
12:10315315:+,,,,0.3076923076923077,0.25,,0.1666666666666666,
12:10315372:+,0.2307692307692307,,,,,,0.1363636363636363,
12:98548842:+,0.106060606060606,0.1153846153846153,0.0545454545454545,0.1351351351351351,,0.2340425531914893,0.1818181818181818,0.1142857142857142
12:98549324:+,,0.1395348837209302,0.0784313725490196,,,,,
12:98735013:+,0.1904761904761904,0.25,0.2068965517241379,0.2272727272727272,0.25,0.2727272727272727,0.1666666666666666,
13:19672218:+,0.1470588235294117,0.1891891891891892,0.1111111111111111,0.1578947368421052,0.175,0.1851851851851851,0.2325581395348837,0.1666666666666666
13:19672882:+,0.2372881355932203,0.180327868852459,0.1875,0.2592592592592592,0.2571428571428571,0.2045454545454545,0.2545454545454545,0.25
13:19672883:+,0.0806451612903225,0.0757575757575757,0.0895522388059701,0.1016949152542373,0.081081081081081,0.1111111111111111,0.0862068965517241,
13:19672934:+,0.0769230769230769,0.1492537313432835,0.1578947368421052,0.074074074074074,0.1351351351351351,0.2040816326530612,0.1186440677966101,0.0952380952380952
14:20367026:-,0.2142857142857142,,,,,0.3333333333333333,,
14:74735840:+,0.1071428571428571,0.1153846153846153,0.25,0.12,0.1111111111111111,0.217391304347826,0.1379310344827586,
15:34231753:-,0.1481481481481481,,0.1470588235294117,0.1428571428571428,0.2222222222222222,0.16,0.275,0.3
16:29667654:+,0.081967213114754,0.0816326530612244,,0.0535714285714285,,0.1111111111111111,,0.0909090909090909
16:29668564:+,0.1818181818181818,0.2916666666666667,0.1212121212121212,0.24,,0.1818181818181818,0.1842105263157894,
16:29668965:+,0.1578947368421052,0.2777777777777778,0.1153846153846153,,,0.25,0.15625,
16:29669000:+,0.1025641025641025,0.1666666666666666,0.1224489795918367,0.1515151515151515,0.2272727272727272,,0.0666666666666666,
16:29669624:+,,0.1538461538461538,0.2272727272727272,,,,,
16:29669981:+,0.1444444444444444,,0.0892857142857142,0.0983606557377049,,0.1458333333333333,0.144578313253012,0.1162790697674418
16:29670049:+,0.1234567901234567,0.0689655172413793,0.074074074074074,0.0757575757575757,0.0833333333333333,0.064516129032258,0.1263157894736842,0.0769230769230769
16:29670138:+,,0.125,,0.0625,0.0784313725490196,0.0857142857142857,,0.0625
16:29670367:+,0.0694444444444444,,0.0769230769230769,0.0508474576271186,,,0.057471264367816,0.0625
16:29670438:+,,,0.0769230769230769,0.0909090909090909,,,0.0597014925373134,
16:48352442:+,0.1956521739130435,0.1081081081081081,0.217391304347826,0.16,0.2,0.3043478260869565,0.1333333333333333,0.1034482758620689
17:35271152:+,0.2166666666666666,0.109090909090909,0.1914893617021276,0.1395348837209302,0.2903225806451613,0.15625,0.1702127659574468,
17:35468849:-,0.1891891891891892,0.1,0.1777777777777777,0.1842105263157894,0.2105263157894736,0.073170731707317,0.2,0.3125
17:64322996:-,,0.16,,,,,0.3103448275862069,
18:32072155:+,0.2105263157894736,0.0909090909090909,0.2972972972972973,0.0851063829787234,,0.108695652173913,0.180327868852459,0.1034482758620689
19:13773208:+,0.1590909090909091,0.2631578947368421,0.2368421052631578,0.1714285714285714,0.25,0.28125,0.0909090909090909,0.2592592592592592
19:13773924:+,0.08,,0.1142857142857142,0.119047619047619,,0.1290322580645161,,
19:5909608:+,0.2758620689655172,0.225,0.28,0.2,0.3,,0.125,
1:150731136:-,,0.3,,,,,,
1:150731275:-,0.1578947368421052,,0.1875,,,,,
1:150731936:-,,,0.2,,,,0.2222222222222222,
1:150732136:-,,,,,,,0.1578947368421052,
1:150732771:-,,0.0975609756097561,0.087719298245614,0.0833333333333333,,0.1333333333333333,0.0634920634920634,
1:1663537:-,0.1235955056179775,0.0987654320987654,0.2051282051282051,0.1558441558441558,0.2058823529411764,0.1851851851851851,0.1333333333333333,0.1428571428571428
1:1664100:-,0.081081081081081,0.238095238095238,0.1875,0.1851851851851851,,,0.2105263157894736,
1:204555737:+,0.1304347826086956,0.2083333333333333,0.2222222222222222,0.1904761904761904,,,,
1:204556512:+,0.088235294117647,0.1176470588235294,0.1333333333333333,,,0.1764705882352941,0.1481481481481481,
1:204557531:+,0.2666666666666666,0.1666666666666666,0.2,0.32,,0.2352941176470588,0.3461538461538461,0.3157894736842105
1:89183643:-,,0.0535714285714285,0.0638297872340425,,,,0.0952380952380952,
1:89183695:-,0.3243243243243243,0.1296296296296296,,,0.1739130434782608,0.119047619047619,0.1521739130434782,
20:36892573:-,0.0769230769230769,0.1183431952662721,0.1632653061224489,0.1172839506172839,0.1583333333333333,0.0972222222222222,0.0764705882352941,0.1226415094339622
20:37519169:-,0.1538461538461538,0.1052631578947368,0.3170731707317073,0.1290322580645161,0.088235294117647,0.1724137931034483,0.2093023255813953,0.217391304347826
20:45079067:+,0.2625,0.2,0.1458333333333333,0.1604938271604938,0.1698113207547169,0.1076923076923077,0.0746268656716417,0.1451612903225806
20:45079200:+,0.1756756756756756,0.25,0.1929824561403508,0.203125,0.2040816326530612,0.2456140350877192,0.1666666666666666,0.2142857142857142
21:33264782:+,0.1428571428571428,,0.1290322580645161,0.1428571428571428,,0.125,0.1666666666666666,0.2
22:17110376:+,0.06,,,,0.0857142857142857,0.1304347826086956,0.1265822784810126,0.0909090909090909
22:17113458:+,,,0.16,,,,,
22:24573660:+,0.088235294117647,0.1111111111111111,0.0833333333333333,0.2068965517241379,,0.0909090909090909,0.0857142857142857,
22:39018766:+,,0.081081081081081,0.073170731707317,0.1578947368421052,0.2105263157894736,0.1764705882352941,0.1724137931034483,0.1666666666666666
22:39018906:+,0.1470588235294117,0.1428571428571428,0.1621621621621621,0.0851063829787234,0.25,,0.2692307692307692,
22:39019866:+,0.2857142857142857,0.32,0.1470588235294117,0.1818181818181818,,0.2777777777777778,0.1515151515151515,
22:39020075:+,0.1666666666666666,0.1,0.0769230769230769,0.1351351351351351,,0.25,,0.25
22:39032721:+,0.2142857142857142,0.25,0.3125,,0.25,,,0.2142857142857142
22:39032848:+,0.1666666666666666,,0.3333333333333333,0.3125,,0.2222222222222222,,
2:201164143:+,0.1666666666666666,0.1666666666666666,0.1764705882352941,0.2121212121212121,0.12,,0.1935483870967742,0.1363636363636363
2:201219194:+,0.16,,0.12,,,0.1363636363636363,0.2857142857142857,0.2352941176470588
2:201286638:+,0.1818181818181818,0.1282051282051282,0.0888888888888888,0.1176470588235294,0.1063829787234042,0.15,0.2236842105263158,0.1063829787234042
2:201287382:+,0.2553191489361702,0.2285714285714285,0.1739130434782608,0.3333333333333333,,0.1470588235294117,0.1627906976744186,0.3636363636363636
3:10151790:+,0.1379310344827586,0.1066666666666666,0.125,0.1132075471698113,,0.088235294117647,,
3:10152309:+,0.0930232558139534,0.073170731707317,,0.0714285714285714,,0.1612903225806451,0.1290322580645161,0.125
3:10152592:+,,,,0.1904761904761904,0.2,0.2083333333333333,0.1666666666666666,
3:10152688:+,0.1219512195121951,0.2916666666666667,0.2608695652173913,0.1666666666666666,,0.1785714285714285,0.1379310344827586,
3:10152870:+,0.1290322580645161,0.1785714285714285,0.1944444444444444,0.1363636363636363,,0.1428571428571428,0.1282051282051282,0.25
3:10152908:+,0.1111111111111111,,,,,,0.075,
3:10153156:+,0.1044776119402985,0.0535714285714285,0.0638297872340425,0.1515151515151515,,0.1212121212121212,0.0851063829787234,
3:10153205:+,,0.1666666666666666,0.073170731707317,,,0.1333333333333333,0.0652173913043478,0.1153846153846153
3:156541617:-,,,,,,0.3571428571428571,,
6:42889292:+,0.2,,0.1666666666666666,0.217391304347826,,0.2666666666666666,0.2,0.1875
7:17345207:+,,,,,,,0.25,
7:44801919:+,0.131578947368421,,0.1891891891891892,0.1142857142857142,0.2068965517241379,,0.081081081081081,0.1764705882352941
7:44802499:+,0.0697674418604651,0.0816326530612244,0.0517241379310344,0.1372549019607843,,,0.0754716981132075,0.1470588235294117
8:11842853:-,,,0.3333333333333333,,,,,0.1875
8:11842909:-,,,,,0.1578947368421052,,,
8:11843166:-,,0.2857142857142857,,,,,,
8:11843919:-,0.1612903225806451,,0.1,0.081081081081081,,0.2857142857142857,,
8:11843931:-,0.2058823529411764,0.2068965517241379,0.1388888888888889,0.1388888888888889,,0.1578947368421052,0.1333333333333333,
8:11843948:-,0.1428571428571428,,0.125,0.3333333333333333,,,0.2083333333333333,
8:11843999:-,,,0.1904761904761904,,,,,
8:30678633:-,,,0.081081081081081,,,0.2,,
8:38971825:+,0.1470588235294117,0.0909090909090909,,,,0.15,,
8:38972234:+,,,0.0909090909090909,,,0.1612903225806451,0.1428571428571428,
8:38972255:+,0.1724137931034483,,0.1428571428571428,0.1481481481481481,,,,0.1764705882352941
X:15782971:+,,,,,0.1666666666666666,,0.088235294117647,
X:77828119:-,,,0.15,,,,0.1785714285714285,
