,Bcells,DCs,Monocytes,NK,Neutrophils,Tcells
10:72234933:+,0.0013565130431348474,0.0014659967055020307,0.003582165363651384,0.005769965958623483,0.0007535335749336283,0.00421632092488161
11:65777051:-,0.0009267025146297771,0.0027823119999114535,0.001570910018588486,0.0027537897526840813,0.001783449998172923,0.0012750232580626812
11:74455855:-,0.0009267025146297771,0.0027329731673708937,0.0009704609926328863,0.0011451836594558304,0.0029710565002214777,0.0012750232580626812
12:10315315:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0009253259446046435,0.0007535335749336283,0.0031509348155314507
12:10315372:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0008981369212845629,0.0007535335749336283,0.0028656156927997414
12:10315861:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0008930327930717962,0.0007535335749336283,0.0012750232580626812
12:10315997:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0010356523797507254,0.0007535335749336283,0.0012750232580626812
12:10316495:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0006963668547353101,0.0007535335749336283,0.0012750232580626812
12:50930855:+,0.0005715498042291093,0.0013497993351626607,0.0012530267484671927,0.0011451836594558304,0.0007535335749336283,0.0012750232580626812
12:68843748:+,0.0009267025146297771,0.0005228138242957944,0.0015464115505306973,0.0011451836594558304,0.001847120573748837,0.0012750232580626812
12:98548842:+,0.0009840414496861674,0.0013363931050286307,0.0010279984274914051,0.0036758952160614988,0.0007535335749336283,0.002314484125380002
12:98549324:+,0.0005192930291086723,0.0005643722834703446,0.0006881745580884572,0.0012484329545102207,0.0007535335749336283,0.0015709213984152922
12:98735013:+,0.001161159792493666,0.0004773791515322879,0.0010694379202377902,0.0034239510122457515,0.000703579440425376,0.0013407034467662082
13:19672218:+,0.0012511960250212793,0.0016730158524899457,0.00644890075518133,0.0016422996754732401,0.00038260122934410414,0.0012579733456788693
13:19672882:+,0.0019625322359088223,0.0019251369218600076,0.0023368914084759855,0.003055831725204012,0.003904454651257213,0.0011774341942274655
13:19672883:+,0.001113511071884806,0.000892367378529825,0.0022842758485247285,0.0008187164510218784,0.0012838146082439876,0.00071790453480161
13:19672934:+,0.0010080654586950989,0.0011701612892026426,0.0023385830078558644,0.001072881838454138,0.0015399440887026543,0.0016262357081991724
14:20367026:-,0.0015049483227548796,0.0023356760828200317,0.004040678911321861,0.0026669685364776085,0.0025705437065184577,0.004180595529258097
14:74735840:+,0.003824446079063443,0.0029204923004616766,0.0006864593006356269,0.002202224660745303,0.005376256635441513,0.002314435120171003
15:34231753:-,0.0020843290290189684,0.0016987838293657212,0.0016644975518177645,0.0050617130980699625,0.0015075957719807795,0.0028435401207614003
16:29667654:+,0.0009267025146297771,0.000653131958301636,0.001018300481556076,0.0006511150500654193,0.0007535335749336283,0.0008522930866071867
16:29668564:+,0.0009267025146297771,0.0030650118351281596,0.0024290180128299574,0.002430653131811654,0.0007535335749336283,0.002349580064795004
16:29668965:+,0.0009267025146297771,0.0008005396782432664,0.002797188116136248,0.0017682497890451204,0.0007535335749336283,0.003016452314726823
16:29669000:+,0.0009267025146297771,0.002475080438330442,0.0034769610173875773,0.0012997304007514292,0.0007535335749336283,0.002192124884188949
16:29669624:+,0.0009267025146297771,0.0020320035770462577,0.001018300481556076,0.001972799029022268,0.0007535335749336283,0.001985377050323335
16:29669981:+,0.0009267025146297771,0.0007381135930382031,0.0010194844766022522,0.000985923961988816,0.0007535335749336283,0.0009610784653487595
16:29670049:+,0.0009267025146297771,0.000826865274876667,0.0010680250774364455,0.0007061696795241208,0.0007535335749336283,0.0009313097309349948
16:29670138:+,0.0009267025146297771,0.0005220306710516806,0.00385575019949689,0.0007205512498182051,0.0007535335749336283,0.0009665858445018424
16:29670367:+,0.0009267025146297771,0.0004671996429903968,0.0008965412557851751,0.0008066603500356968,0.0007535335749336283,0.0006891276549076816
16:29670438:+,0.0009267025146297771,0.0006217632264526585,0.0008855618611732178,0.0006652716783035516,0.0007535335749336283,0.0007596871083736006
16:48352442:+,0.0030385061473256684,0.0006902609721592355,0.003284164695085422,0.0014551622428007065,0.0007535335749336283,0.0028569848528481974
17:35271152:+,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0028067326313238263,0.0007535335749336283,0.0023830619208386984
17:35468849:-,0.0009267025146297771,0.0008218316992605397,0.001018300481556076,0.0019726937582530404,0.0007535335749336283,0.0032661479532871017
17:64322996:-,0.0009267025146297771,0.0005666064180784091,0.0011688778155655038,0.0011451836594558304,0.0009937571470403494,0.00628840342451291
18:32072155:+,0.0009267025146297771,0.0014406480209574065,0.00494511193866225,0.0012815387293827868,0.0007535335749336283,0.0037839152041640144
19:13773208:+,0.004443623114114226,0.003822991166995216,0.0005538924696121676,0.003873748144733413,0.0007535335749336283,0.002836363746837202
19:13773924:+,0.0012233001768587911,0.0008218316992605397,0.0006299086032946421,0.0017243597264290796,0.0007535335749336283,0.0008643540621544337
19:17553031:+,0.0005539157137279265,0.0008218316992605397,0.001018300481556076,0.0011451836594558304,0.0007535335749336283,0.0012750232580626812
19:38868387:-,0.0009267025146297771,0.0038683819720838875,0.001018300481556076,0.0008891150368903509,0.0007535335749336283,0.0012750232580626812
19:5909608:+,0.002825407190799393,0.00041603449994455496,0.000601605862079813,0.002376771101930538,0.0007535335749336283,0.0027716971224915074
1:150731136:-,0.002505017880734968,0.0009440045057787728,0.0006492334661460479,0.0010846814695053947,0.0016731693599916012,0.0012750232580626812
1:150731221:-,0.0009267025146297771,0.0012387463091120916,0.0009466811865247977,0.0006650474510296901,0.0004298800677807198,0.0012750232580626812
1:150731275:-,0.0029803194152372937,0.0008678986900903041,0.000987329864117279,0.0030141299128457815,0.006080425502971318,0.0008566295306933905
1:150731310:-,0.000538935827372257,0.0008999904119504256,0.0007765587539613164,0.0018792817726826416,0.0010358311329350953,0.0012750232580626812
1:150731936:-,0.0008299611721050501,0.000584395751482382,0.000578607637383913,0.0025639598254818576,0.0005920784485517999,0.0007609684191547971
1:150731999:-,0.002542524731845012,0.0004813403070756833,0.0006840424678814887,0.0014417882821518091,0.0007131502330438861,0.0012750232580626812
1:150732136:-,0.0005573872148979823,0.00048786310117241604,0.0005792212132054228,0.001060814540412301,0.0008299486596975644,0.0012750232580626812
1:150732159:-,0.0008012424002119625,0.0005050002738323626,0.0006278105879073291,0.002437808225312775,0.0007431669002409534,0.0012750232580626812
1:150732177:-,0.0009267025146297771,0.000554025405745834,0.0005615092388295551,0.0011569763458622747,0.0008788625710756098,0.0012750232580626812
1:150732771:-,0.0007825909222028924,0.00041773405962479084,0.0005242022224495123,0.0014903452635372937,0.00043450947224804446,0.0009674604170070056
1:1663537:-,0.0007853042312263195,0.0012396756135437626,0.0021956815261992345,0.0024336173271313783,0.0035166300454929737,0.001406450852140312
1:1664100:-,0.0016369743091923764,0.012019708603204171,0.001018300481556076,0.0014752388493793614,0.0017284103860827306,0.002409244250718679
1:204555737:+,0.001227113560018585,0.0008218316992605397,0.004199557630123208,0.002872053134415874,0.00046285494173678644,0.001454914889519881
1:204556512:+,0.0009772598448165738,0.001866314031473183,0.0005276500092676709,0.001928444460794221,0.0007535335749336283,0.0011823353198245302
1:204557531:+,0.003200445468268434,0.002968553744912196,0.0037873106290978393,0.002318976866932297,0.0004341588903134626,0.002884793001504543
1:89183643:-,0.004202255450764537,0.0009513845393700262,0.001001209328430276,0.0015833707823253902,0.001437329015299592,0.0008731638661346221
1:89183695:-,0.0009267025146297771,0.0016338993423343435,0.00624974659891751,0.0007205337363601759,0.0034652583824519145,0.004124143322282427
20:36892573:-,0.0009267025146297771,0.0005848827173156422,0.0006953829698399445,0.0009378727897062927,0.002697033023682444,0.0011745675926355332
20:37519169:-,0.0009323379753139703,0.001050069588816487,0.0026243212825582175,0.00508877011757761,0.0007535335749336283,0.0033596603749155443
20:45079067:+,0.002384785271533192,0.003017898580872465,0.0018876156831785088,0.0015855098937349928,0.0024094711979819267,0.0022535272653128576
20:45079200:+,0.00180748086365916,0.002745604608471754,0.0017997952165432352,0.002342947064321003,0.0012495989333516006,0.001081765084768557
21:33264782:+,0.0008708393943466388,0.004897681219689263,0.0018111714569890487,0.0037570700871742335,0.002691629503739711,0.0010312726208254455
22:17110376:+,0.0009267025146297771,0.0006227615641827371,0.0006323653362670958,0.0009907607739723023,0.000524531918472465,0.001076453001023425
