site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,,,0.15,,,,,0.2608695652173913
11:65777051:-,0.2692307692307692,0.238095238095238,0.208955223880597,0.1904761904761904,0.1886792452830188,0.1136363636363636,0.2272727272727272,0.1864406779661017
11:74455855:-,0.1111111111111111,0.1212121212121212,0.119047619047619,0.0857142857142857,0.125,0.15625,0.0566037735849056,0.1333333333333333
12:50930855:+,0.0983606557377049,0.1636363636363636,0.1184210526315789,0.1363636363636363,0.125,0.2,0.0784313725490196,0.1066666666666666
12:68843748:+,,,,0.1764705882352941,0.25,,,0.1666666666666666
12:98548842:+,0.1269841269841269,0.1,0.1304347826086956,0.1296296296296296,0.1568627450980392,0.12,0.2,0.1030927835051546
12:98549324:+,0.1052631578947368,,0.0816326530612244,0.119047619047619,,,,
12:98735013:+,0.1287128712871287,0.0533333333333333,,0.0612244897959183,,0.109375,0.0697674418604651,0.1239669421487603
13:19672218:+,,,0.375,,0.2777777777777778,,0.25,0.1111111111111111
13:19672882:+,0.2962962962962963,0.1904761904761904,0.1538461538461538,0.25,,0.3,0.1851851851851851,0.1714285714285714
13:19672883:+,0.1481481481481481,,0.25,0.1,,,0.1153846153846153,0.1794871794871795
13:19672934:+,,,0.2058823529411764,,,,0.1578947368421052,0.0857142857142857
14:20367026:-,0.24,0.25,0.2777777777777778,0.0909090909090909,,,,
14:74735840:+,0.2142857142857142,,0.2222222222222222,0.217391304347826,0.2307692307692307,,0.2,0.2558139534883721
15:34231753:-,0.1851851851851851,0.1538461538461538,0.2368421052631578,0.1025641025641025,,0.12,,0.15
16:29667654:+,,,,,,0.1578947368421052,,
16:29668564:+,,0.2142857142857142,0.2727272727272727,0.3333333333333333,0.2727272727272727,,0.1764705882352941,0.1794871794871795
16:29668965:+,,0.3333333333333333,0.1875,0.2307692307692307,0.1875,,0.3076923076923077,0.1764705882352941
