site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,True,True,True,True,True,True,True,False
12:10315315:+,,,,True,True,,True,
12:10315372:+,True,,,,,,True,
12:98548842:+,True,True,True,True,,True,True,True
12:98549324:+,,False,True,,,,,
12:98735013:+,True,True,True,True,True,True,True,
13:19672218:+,False,True,True,False,True,True,True,True
13:19672882:+,True,True,True,True,True,True,True,True
13:19672883:+,True,True,True,True,True,True,True,
13:19672934:+,True,True,True,True,True,False,True,True
14:20367026:-,True,,,,,False,,
14:74735840:+,True,True,True,True,True,True,False,
15:34231753:-,True,,False,True,True,True,True,True
16:29667654:+,True,True,,True,,True,,True
16:29668564:+,True,True,True,True,,True,True,
16:29668965:+,True,True,True,,,False,True,
16:29669000:+,True,True,True,True,True,,True,
16:29669624:+,,True,True,,,,,
16:29669981:+,True,,True,True,,True,True,True
16:29670049:+,True,True,True,True,True,True,True,True
16:29670138:+,,True,,True,True,True,,True
16:29670367:+,False,,True,True,,,True,True
16:29670438:+,,,True,True,,,True,
16:48352442:+,False,True,True,True,True,False,True,True
17:35271152:+,True,True,True,True,True,True,True,
17:35468849:-,True,True,True,True,True,True,False,True
17:64322996:-,,True,,,,,True,
18:32072155:+,True,True,True,True,,True,True,True
19:13773208:+,True,True,True,False,True,True,True,True
19:13773924:+,False,,True,True,,True,,
19:5909608:+,True,True,False,True,False,,True,
1:150731136:-,,False,,,,,,
1:150731275:-,False,,False,,,,,
1:150731936:-,,,False,,,,False,
1:150732136:-,,,,,,,False,
1:150732771:-,,False,False,False,,False,False,
1:1663537:-,True,True,True,True,True,True,True,False
1:1664100:-,True,True,True,True,,,False,
1:204555737:+,True,True,True,True,,,,
1:204556512:+,True,True,True,,,True,True,
1:204557531:+,True,True,True,True,,True,True,True
1:89183643:-,,True,True,,,,True,
1:89183695:-,True,True,,,True,True,True,
20:36892573:-,True,True,True,True,True,True,True,True
20:37519169:-,True,True,True,True,False,True,True,True
20:45079067:+,True,True,True,True,True,True,True,True
20:45079200:+,True,True,True,True,True,True,True,True
21:33264782:+,True,,True,False,,True,True,True
22:17110376:+,True,,,,True,True,True,True
22:17113458:+,,,True,,,,,
22:24573660:+,True,True,True,False,,True,False,
22:39018766:+,,True,True,True,True,True,True,True
22:39018906:+,True,True,True,True,True,,True,
22:39019866:+,True,True,True,True,,True,True,
22:39020075:+,True,True,True,True,,False,,True
22:39032721:+,False,True,True,,True,,,True
22:39032848:+,True,,True,True,,False,,
2:201164143:+,True,True,True,True,False,,True,True
2:201219194:+,True,,True,,,True,False,True
2:201286638:+,True,True,True,True,True,True,True,True
2:201287382:+,True,True,True,True,,True,True,True
3:10151790:+,True,True,True,True,,False,,
3:10152309:+,True,True,,True,,True,True,True
3:10152592:+,,,,False,True,True,True,
3:10152688:+,True,True,True,True,,True,True,
3:10152870:+,True,True,True,True,,True,True,True
3:10152908:+,True,,,,,,False,
3:10153156:+,True,True,True,True,,False,True,
3:10153205:+,,True,True,,,False,True,True
3:156541617:-,,,,,,False,,
6:42889292:+,True,,True,True,,True,True,True
7:17345207:+,,,,,,,True,
7:44801919:+,False,,True,True,True,,False,True
7:44802499:+,False,True,True,True,,,True,True
8:11842853:-,,,True,,,,,True
8:11842909:-,,,,,True,,,
8:11843166:-,,True,,,,,,
8:11843919:-,True,,True,True,,False,,
8:11843931:-,True,True,True,True,,True,True,
8:11843948:-,True,,True,True,,,True,
8:11843999:-,,,False,,,,,
8:30678633:-,,,True,,,True,,
8:38971825:+,True,True,,,,True,,
8:38972234:+,,,True,,,True,True,
8:38972255:+,True,,True,False,,,,True
X:15782971:+,,,,,True,,True,
X:77828119:-,,,True,,,,True,
