,SRR1550981,SRR1551053,SRR1551060,SRR1551074
10:100232436:-,35,37,34,23
10:100232925:-,28,32,29,31
10:100232926:-,36,34,35,29
10:100233035:-,23,27,29,23
10:100233052:-,25,29,33,28
10:100233090:-,33,25,35,33
10:12831014:+,29,23,33,31
10:12833566:+,32,31,25,37
10:14907006:-,19,26,31,33
10:20284377:+,36,34,24,23
10:3778225:-,29,27,28,39
10:49988823:+,35,29,29,27
10:70404397:+,24,34,29,31
10:70422696:+,21,27,22,31
10:72234070:+,31,44,35,30
10:72234878:+,41,30,27,29
10:72234933:+,23,22,26,34
10:72234948:+,25,31,27,26
10:72234954:+,26,24,38,30
10:72235003:+,35,28,34,41
10:72235379:+,23,32,24,30
10:73249117:-,23,22,33,25
10:73250083:-,34,23,40,27
10:73250156:-,32,23,40,29
10:97664917:+,25,32,32,28
11:102396871:-,32,29,25,36
11:108365741:+,20,27,39,26
11:108365793:+,22,18,33,27
11:108365977:+,37,17,25,31
11:108367126:+,18,30,36,40
11:108367193:+,35,35,31,37
11:108367225:+,28,26,30,25
11:108367229:+,28,28,27,39
11:108367260:+,27,37,35,32
11:118748642:-,34,33,23,21
11:118898246:-,35,42,31,32
11:44934804:-,31,29,30,40
11:46678959:-,22,33,35,27
11:61007594:+,34,28,24,41
11:64219582:+,28,31,35,32
11:64307330:+,31,36,29,27
11:65321908:+,35,26,33,23
11:65375817:-,25,33,32,40
11:65375897:-,33,16,23,34
11:65375978:-,37,34,26,33
11:65581686:+,21,35,31,42
11:65774507:-,31,23,28,22
11:65774548:-,26,29,32,28
11:65774680:-,31,30,31,33
11:65774681:-,32,35,29,28
11:65775818:-,39,30,27,30
11:65775919:-,18,27,27,37
11:65775920:-,23,22,35,33
11:65775966:-,28,30,24,23
11:65775986:-,28,34,29,17
11:65776157:-,26,31,21,36
11:65776162:-,32,35,28,27
11:65776696:-,30,37,39,37
11:65776882:-,30,22,39,24
11:65776893:-,24,40,27,33
11:65776909:-,30,38,37,34
11:65776910:-,31,26,34,22
11:65776954:-,35,35,31,18
11:65776988:-,33,34,18,32
11:65776998:-,33,28,33,37
11:65777013:-,37,31,26,24
11:65777018:-,27,26,23,31
11:65777031:-,39,23,20,32
11:65777051:-,29,34,25,39
11:65777103:-,34,32,25,26
11:74455756:-,35,29,35,31
11:74455855:-,30,22,26,29
11:74455865:-,27,22,19,25
11:74456110:-,28,37,30,27
11:74456209:-,26,25,33,27
11:769402:-,18,34,17,39
11:769448:-,24,22,25,31
11:769458:-,32,26,29,36
11:769894:-,35,25,27,34
11:83157398:+,34,38,23,33
11:8686359:+,23,38,32,18
11:8686369:+,26,36,31,37
11:8686404:+,32,28,34,29
11:8687341:+,30,28,24,25
11:93735604:-,28,34,35,22
11:93735629:-,22,34,28,32
12:10315185:+,28,41,24,28
12:10315251:+,24,25,26,24
12:10315315:+,29,30,26,20
12:10315360:+,27,32,24,24
12:10315372:+,31,26,28,35
12:10315387:+,41,38,26,24
12:10315861:+,29,33,37,30
12:10315862:+,26,35,30,31
12:10315884:+,23,42,43,31
12:10316458:+,26,27,29,30
12:10316476:+,34,27,27,32
12:10316495:+,35,40,32,19
12:10316549:+,23,32,39,34
12:10316588:+,33,29,27,33
12:10316637:+,38,33,42,34
