site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,False,True,False,False,,False,,
11:65777051:-,True,True,False,False,False,,,
11:74455855:-,True,False,False,True,True,True,True,True
12:50930855:+,True,True,True,True,True,False,False,False
12:68843748:+,True,True,False,,,,False,
12:98548842:+,True,True,True,True,True,True,False,False
12:98549324:+,True,False,True,True,True,True,False,False
12:98735013:+,,True,True,,True,,False,False
13:19672218:+,False,,,False,False,,False,False
13:19672882:+,False,True,False,False,False,False,False,False
13:19672883:+,,,,False,,,False,False
13:19672934:+,False,True,False,False,False,,False,False
14:20367026:-,True,,,True,True,False,True,True
14:74735840:+,True,True,False,False,False,False,False,False
15:34231753:-,,,,False,False,False,False,
16:29667654:+,True,,True,True,True,,True,True
16:29668564:+,True,True,True,True,True,True,True,True
16:29668965:+,,True,True,True,True,False,True,True
16:29669000:+,True,True,True,True,True,True,True,True
16:29669624:+,True,,True,True,False,True,True,False
16:29669981:+,True,False,True,True,True,True,True,True
16:29670049:+,True,True,True,True,True,True,True,True
16:29670138:+,True,True,,,True,True,False,True
16:29670367:+,False,,True,True,True,False,True,True
16:29670438:+,,True,,True,False,True,,
16:48352442:+,False,True,False,,,False,False,
17:64322996:-,False,True,False,True,True,True,True,True
18:32072155:+,False,,,False,False,,False,
19:13773208:+,False,True,,False,False,False,,False
19:38868387:-,False,,False,,,False,False,False
19:5909608:+,,,False,,,,False,
1:150731136:-,True,True,True,True,True,True,False,True
1:150731221:-,True,True,True,True,True,True,False,True
1:150731275:-,True,True,True,True,True,True,False,True
1:150731310:-,True,True,True,True,True,True,False,True
1:150731936:-,True,True,True,True,True,True,False,True
1:150731999:-,True,True,True,True,True,True,False,True
1:150732136:-,True,,,False,True,True,False,
1:150732159:-,True,True,True,True,True,True,False,True
1:150732177:-,True,True,True,False,True,True,False,True
1:150732771:-,True,,True,True,True,False,False,True
1:1663537:-,False,True,False,False,,,,
1:1664100:-,,,False,False,,,,
1:204556512:+,False,True,,False,,,False,False
1:204557531:+,False,,False,False,,,False,False
1:89183643:-,True,True,True,False,True,True,False,False
1:89183695:-,True,True,False,True,True,True,False,False
20:36892573:-,True,True,True,True,True,True,False,False
20:37519169:-,True,True,False,True,False,,,
20:45079067:+,False,True,False,False,False,False,False,False
20:45079200:+,,,False,,False,False,False,False
21:33264782:+,,,True,False,True,,False,False
22:17110376:+,True,,,True,,False,,False
22:17113458:+,False,,False,,,,False,
22:24573660:+,,,,,,False,,False
22:39018766:+,True,True,True,True,True,True,False,False
22:39018906:+,True,True,True,True,True,True,False,False
22:39019866:+,True,True,True,True,True,True,False,False
22:39020075:+,True,True,True,True,True,False,False,False
22:39032721:+,False,True,False,,,,,False
2:201164009:+,,True,,,,,,
2:201164143:+,True,True,False,True,,,False,
2:201219194:+,True,False,False,True,True,,False,
2:201286638:+,False,True,False,,False,False,False,False
2:201287382:+,False,True,False,False,,False,False,False
3:10151790:+,False,True,False,,False,False,False,False
3:10152309:+,False,True,False,False,False,False,,False
3:10152592:+,,,,,,,False,
3:10152688:+,False,,False,False,False,False,False,False
3:10152870:+,,True,False,,False,False,False,
3:10152908:+,,,False,False,False,,,
3:10153156:+,,,,,,False,False,False
3:10153205:+,,True,False,False,False,,,False
3:156541617:-,,True,True,False,True,,False,False
4:2839693:+,True,True,True,True,False,True,False,True
4:2839824:+,True,True,True,False,True,True,False,
6:42889292:+,True,True,False,False,False,False,False,False
7:17345193:+,False,True,True,False,,True,False,False
7:17345207:+,,,True,False,True,True,False,False
7:17345257:+,,True,True,True,True,True,False,
7:44801919:+,False,,True,True,,True,False,False
7:44802499:+,False,True,True,True,True,False,False,False
8:11842853:-,True,True,True,True,True,True,False,False
8:11842909:-,True,True,True,True,True,True,False,False
8:11843166:-,True,True,True,True,True,True,False,False
8:11843919:-,True,,True,True,True,False,False,False
8:11843931:-,True,True,True,True,True,True,False,False
8:11843948:-,True,True,True,True,True,True,False,False
8:11843999:-,True,True,False,False,True,True,False,
8:30678633:-,True,True,True,True,True,True,False,False
8:38971825:+,,True,False,True,True,,False,False
8:38972234:+,,True,True,False,True,False,,False
8:38972255:+,,True,True,,,,False,False
9:134906167:-,True,,False,,,False,,
X:77828119:-,True,True,,,True,False,,
