,Bcells,CD4,CD8,Monocytes,NK,Neutrophils
10:100232436:-,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
10:100232925:-,0.13043478260869565,0.2,0.19903381642512077,0.19903381642512077,0.19903381642512077,0.26666666666666666
10:100232926:-,0.10344827586206896,0.1231527093596059,0.14285714285714285,0.1231527093596059,0.1231527093596059,0.1231527093596059
10:100233035:-,0.288961038961039,0.288961038961039,0.21428571428571427,0.36363636363636365,0.288961038961039,0.288961038961039
10:100233052:-,0.7,0.5034090909090909,0.3068181818181818,0.5034090909090909,0.5034090909090909,0.5034090909090909
10:100233090:-,0.2,0.2,0.2,0.2,0.2,0.2
10:12831014:+,0.2,0.2,0.2,0.2,0.2,0.2
10:12833566:+,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
10:14907006:-,0.15,0.15,0.15,0.15,0.15,0.15
10:20284377:+,0.3,0.3,0.3,0.3,0.3,0.3
10:3778225:-,0.06091473286562331,0.06091473286562331,0.06091473286562331,0.06091473286562331,0.06091473286562331,0.06091473286562331
10:49988823:+,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10:70404397:+,0.15486637033934497,0.15486637033934497,0.08571428571428572,0.15486637033934497,0.11428571428571428,0.2645991110180349
10:70422696:+,0.09564551816404239,0.09564551816404239,0.09564551816404239,0.09564551816404239,0.09564551816404239,0.09564551816404239
10:72234070:+,0.25,0.25,0.25,0.25,0.25,0.25
10:72234878:+,0.08823529411764706,0.11097560975609756,0.18181818181818182,0.12700969523064215,0.12700969523064215,0.12700969523064215
10:72234933:+,0.22286361063950197,0.25122053872053873,0.29583333333333334,0.2566391608977914,0.2566391608977914,0.2566391608977914
10:72234948:+,0.125,0.125,0.125,0.125,0.125,0.125
10:72234954:+,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
10:72235003:+,0.3,0.125,0.2125,0.2125,0.2125,0.2125
10:72235379:+,0.25,0.2,0.275,0.2416666666666667,0.2416666666666667,0.2416666666666667
10:73249117:-,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413
10:73250083:-,0.2777777777777778,0.28888888888888886,0.28888888888888886,0.3,0.28888888888888886,0.28888888888888886
10:73250156:-,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
10:97664917:+,0.12,0.12,0.12,0.12,0.12,0.12
11:102396871:-,0.06797202797202798,0.06797202797202798,0.06797202797202798,0.06797202797202798,0.06797202797202798,0.06797202797202798
11:108365741:+,0.225,0.225,0.225,0.225,0.225,0.225
11:108365793:+,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896
11:108365977:+,0.15,0.15,0.15,0.15,0.15,0.15
11:108367126:+,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
11:108367193:+,0.14250700280112044,0.11292016806722688,0.08333333333333333,0.11292016806722688,0.11292016806722688,0.11292016806722688
11:108367225:+,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
11:108367229:+,0.14285714285714285,0.10631229235880399,0.10631229235880399,0.10631229235880399,0.06976744186046512,0.10631229235880399
11:108367260:+,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.06818181818181818
11:118748642:-,0.18475092739798624,0.18475092739798624,0.18475092739798624,0.18475092739798624,0.18475092739798624,0.18475092739798624
