site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
11:65777051:-,0.1153846153846153,0.1196581196581196,0.1515151515151515,0.0735294117647058,0.144,0.0508474576271186,0.2063492063492063,0.1886792452830188
11:74455855:-,0.3061224489795918,0.1666666666666666,0.1707317073170731,0.3125,0.1304347826086956,,0.1702127659574468,0.217391304347826
12:68843748:+,0.1388888888888889,0.0967741935483871,0.1666666666666666,0.0697674418604651,0.2105263157894736,0.2307692307692307,0.1538461538461538,0.1818181818181818
12:98735013:+,0.08,0.1122448979591836,0.14,0.1411764705882353,0.1428571428571428,0.0961538461538461,0.1339285714285714,0.0909090909090909
13:19672218:+,,,0.2222222222222222,0.217391304347826,,,,
13:19672882:+,0.2631578947368421,0.3636363636363636,0.1428571428571428,0.1923076923076923,0.2857142857142857,,0.375,0.2631578947368421
13:19672883:+,0.2105263157894736,,0.1739130434782608,0.1153846153846153,0.2,,,
13:19672934:+,0.1304347826086956,0.1428571428571428,0.1025641025641025,0.2142857142857142,0.2,,,0.2142857142857142
14:20367026:-,,0.1538461538461538,0.2307692307692307,0.2857142857142857,,,,
14:74735840:+,,,0.2222222222222222,,,,0.3636363636363636,
15:34231753:-,0.145631067961165,0.1515151515151515,0.1550387596899224,0.1212121212121212,0.0980392156862745,0.25,0.2022471910112359,0.1791044776119403
17:64322996:-,,,0.0756578947368421,,0.0656934306569343,0.1136363636363636,0.087719298245614,0.1532258064516129
19:38868387:-,,0.2857142857142857,,,,,,
1:150731136:-,0.1929824561403508,0.0833333333333333,0.1896551724137931,0.171875,0.1777777777777777,0.1176470588235294,0.25,0.1935483870967742
1:150731221:-,,,,0.0566037735849056,0.0697674418604651,,,0.0769230769230769
1:150731275:-,0.0972222222222222,0.1525423728813559,0.125,0.1666666666666666,0.0579710144927536,,0.25,0.375
1:150731310:-,0.0769230769230769,0.1756756756756756,0.1188118811881188,0.0909090909090909,0.1470588235294117,0.1232876712328767,0.1748251748251748,0.1489361702127659
1:150731936:-,0.0536912751677852,0.0703125,0.0714285714285714,0.0612244897959183,0.1156069364161849,0.0775862068965517,0.096045197740113,0.0964912280701754
1:150731999:-,0.0887096774193548,0.0782608695652174,0.0980392156862745,0.1194029850746268,0.1301369863013698,0.127906976744186,0.1575757575757575,0.1009174311926605
1:150732136:-,0.1011904761904761,0.1338028169014084,0.0529411764705882,0.0783132530120482,0.0677966101694915,0.0571428571428571,0.1223404255319148,0.1031746031746031
1:150732159:-,0.1618497109826589,0.1879194630872483,0.0954773869346733,0.135593220338983,0.1428571428571428,0.1495327102803738,0.1621621621621621,0.1631205673758865
1:150732177:-,,0.0616438356164383,,0.0662650602409638,0.1149425287356321,0.0618556701030927,0.0738916256157635,0.1357142857142857
1:150732771:-,0.0539152759948652,0.0723350253807106,0.0598290598290598,0.0549777117384844,0.0816582914572864,0.0501002004008016,0.0605700712589073,0.06963249516441
1:1663537:-,0.1379310344827586,,,,0.25,,,
1:1664100:-,0.25,,0.1764705882352941,,,,,
1:204555737:+,0.2727272727272727,,0.2727272727272727,0.25,,,,
1:204556512:+,,,,0.15,,,,
1:204557531:+,,,0.1666666666666666,0.1818181818181818,,,,
1:89183643:-,0.2222222222222222,0.1333333333333333,0.1578947368421052,,0.1290322580645161,0.1,,
1:89183695:-,,0.0857142857142857,0.1428571428571428,0.2727272727272727,,0.1818181818181818,,
20:36892573:-,0.3333333333333333,0.1707317073170731,0.2162162162162162,,0.2,0.2941176470588235,,
