site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,0.1818181818181818,0.217391304347826,0.1224489795918367,0.1875,0.2631578947368421,0.2,0.1875,
12:50930855:+,0.0520833333333333,0.0707070707070707,0.096551724137931,0.0707070707070707,0.0595238095238095,0.0520833333333333,0.0738255033557047,0.0588235294117647
12:98548842:+,0.1632653061224489,0.0816326530612244,0.1290322580645161,0.125,0.0697674418604651,0.0909090909090909,,0.1034482758620689
12:98549324:+,0.08,0.0857142857142857,0.0652173913043478,,,,,
12:98735013:+,,,,0.2352941176470588,0.2352941176470588,,,0.3
13:19672218:+,0.2121212121212121,0.1176470588235294,0.131578947368421,0.125,0.1904761904761904,0.2,0.1851851851851851,
13:19672882:+,0.1627906976744186,0.1568627450980392,0.2444444444444444,0.25,0.2592592592592592,0.125,0.2222222222222222,0.1379310344827586
13:19672883:+,0.1489361702127659,0.1176470588235294,0.0625,,,,0.1,
13:19672934:+,0.1702127659574468,0.1228070175438596,0.1486486486486486,0.1489361702127659,0.1764705882352941,0.1071428571428571,0.12,0.0789473684210526
14:20367026:-,0.1470588235294117,0.217391304347826,0.2,0.1515151515151515,0.2258064516129032,,0.1111111111111111,
14:74735840:+,0.2758620689655172,,0.217391304347826,,,0.25,0.0909090909090909,
15:34231753:-,0.1111111111111111,0.2666666666666666,0.1515151515151515,0.2222222222222222,0.125,0.217391304347826,0.1666666666666666,
16:48352442:+,0.1851851851851851,0.1111111111111111,0.1470588235294117,,,0.2692307692307692,0.1428571428571428,0.2857142857142857
17:64322996:-,,,,0.125,,,,
19:13773208:+,0.36,0.2105263157894736,0.2083333333333333,,,,,0.1515151515151515
19:13773924:+,0.217391304347826,0.1612903225806451,,,0.15,,0.2272727272727272,
19:17553031:+,0.1131386861313868,0.1102362204724409,0.1220472440944882,0.1422222222222222,0.1111111111111111,0.1019417475728155,0.1019736842105263,0.1041666666666666
19:5909608:+,0.2857142857142857,0.1666666666666666,0.1666666666666666,,,,,
1:150731136:-,0.2432432432432432,0.1333333333333333,0.088235294117647,0.1025641025641025,0.2258064516129032,,0.1612903225806451,
1:150731275:-,0.1666666666666666,0.125,0.125,0.3076923076923077,0.1153846153846153,0.15625,0.0967741935483871,
1:150731310:-,0.1063829787234042,0.0952380952380952,,,,0.0869565217391304,0.0727272727272727,0.0888888888888888
1:150731936:-,,,0.125,0.1162790697674418,0.0638297872340425,,0.0980392156862745,
1:150731999:-,,0.1363636363636363,0.2,0.075,0.15625,0.0625,0.081081081081081,0.2272727272727272
1:150732136:-,0.0576923076923076,0.0769230769230769,,0.0909090909090909,0.0784313725490196,,,
1:150732159:-,,0.1212121212121212,0.1147540983606557,0.0555555555555555,0.0634920634920634,0.0909090909090909,0.0689655172413793,0.1025641025641025
1:150732771:-,0.1156462585034013,0.1395348837209302,0.1096774193548387,0.106060606060606,0.0642857142857142,0.0697674418604651,0.0807453416149068,0.0977443609022556
1:1663537:-,0.1071428571428571,0.1527777777777778,0.1466666666666666,0.14,,,0.09375,0.1034482758620689
1:1664100:-,0.1739130434782608,0.1379310344827586,0.1071428571428571,0.15,0.1764705882352941,,0.25,
1:204555737:+,0.1379310344827586,0.1851851851851851,0.1538461538461538,0.2352941176470588,,0.1875,0.1304347826086956,
1:204556512:+,0.1071428571428571,,0.0789473684210526,0.12,,0.1724137931034483,0.1034482758620689,0.1363636363636363
1:204557531:+,0.1515151515151515,0.1794871794871795,0.3421052631578947,0.1935483870967742,,0.217391304347826,,
1:89183643:-,0.3,,,,0.2666666666666666,,0.1363636363636363,
1:89183695:-,,,,,,0.2,,
20:37519169:-,0.1794871794871795,0.1463414634146341,0.1555555555555555,0.125,0.175,0.1818181818181818,0.2191780821917808,0.1333333333333333
20:45079067:+,0.1590909090909091,0.1538461538461538,0.2916666666666667,0.1607142857142857,0.1842105263157894,0.1290322580645161,0.1224489795918367,0.0789473684210526
20:45079200:+,0.3783783783783784,0.3076923076923077,0.217391304347826,0.2903225806451613,0.25,0.2307692307692307,0.3043478260869565,0.2592592592592592
21:33264782:+,,,0.1739130434782608,,0.2142857142857142,,,
22:24573660:+,0.1515151515151515,0.1388888888888889,0.0666666666666666,,0.25,,,
22:39018766:+,0.0869565217391304,0.0747663551401869,0.09,0.0649350649350649,0.1265822784810126,0.0833333333333333,0.1758241758241758,0.1029411764705882
22:39018906:+,0.1724137931034483,0.217391304347826,0.0638297872340425,0.0833333333333333,0.1363636363636363,0.1333333333333333,0.1384615384615384,0.25
22:39019866:+,0.146067415730337,0.1896551724137931,0.1428571428571428,0.2,0.1509433962264151,0.2291666666666666,0.1265822784810126,0.0697674418604651
22:39020075:+,,0.0909090909090909,0.1052631578947368,0.0555555555555555,0.0862068965517241,0.1224489795918367,0.0684931506849315,
22:39032721:+,0.2,0.1,0.1463414634146341,0.2222222222222222,0.1428571428571428,0.1612903225806451,0.1940298507462686,0.1666666666666666
22:39032848:+,0.1481481481481481,0.1111111111111111,0.08,0.2571428571428571,0.1333333333333333,0.1071428571428571,0.1020408163265306,0.2
2:201164009:+,0.1111111111111111,,,0.1428571428571428,,,,
2:201164143:+,,0.1142857142857142,0.1794871794871795,0.1739130434782608,,,,
