,Bcells,DCs,Monocytes,NK,Neutrophils,Tcells
10:72234933:+,0.19425948007066954,0.26453781512605035,0.20543478260869563,0.1736950588942999,0.20802364468492618,0.20219108672491548
11:65777051:-,0.2054081438066999,0.22654985880992076,0.20284830448012578,0.260989010989011,0.13124540094774204,0.2054081438066999
11:74455855:-,0.1555106025247683,0.1424178233771257,0.11353403050042202,0.1555106025247683,0.2105799536967572,0.1555106025247683
12:10315315:+,0.17968201398501243,0.17968201398501243,0.17968201398501243,0.11791103651703341,0.17968201398501243,0.24145299145299146
12:10315372:+,0.16986382311097947,0.16986382311097947,0.16986382311097947,0.15616121265552535,0.16986382311097947,0.18356643356643357
12:10315861:+,0.1950006746226894,0.1950006746226894,0.1950006746226894,0.1950006746226894,0.1950006746226894,0.1950006746226894
12:10315997:+,0.17078240889242463,0.17078240889242463,0.17078240889242463,0.17078240889242463,0.17078240889242463,0.17078240889242463
12:10316495:+,0.11225808834694553,0.11225808834694553,0.11225808834694553,0.11225808834694553,0.11225808834694553,0.11225808834694553
12:50930855:+,0.06678817181375225,0.1392699347591565,0.12835996844812125,0.06976744186046512,0.10104637922037378,0.10104637922037378
12:68843748:+,0.16755630942613572,0.14971401858879174,0.1977124183006536,0.16666666666666666,0.15613213414843097,0.16755630942613572
12:98548842:+,0.1090078608399735,0.17158684734034266,0.13337550847820578,0.17174855411883713,0.14403724731036316,0.13446746577445667
12:98549324:+,0.07697722567287785,0.07824425020468832,0.10198114333452679,0.14252529553195753,0.1017422085758051,0.10898312813497492
12:98735013:+,0.2568627450980392,0.0855604847567745,0.09106334640426765,0.18011475638698868,0.1171587524870088,0.2234342012667136
13:19672218:+,0.16600122771064832,0.23048128342245994,0.2534722222222222,0.16687674101610453,0.21980676328502413,0.1705829815073191
13:19672882:+,0.1948138003976428,0.1861869908239135,0.22103319960462817,0.21870941558441556,0.2694044677127384,0.2288261287423381
13:19672883:+,0.10727080725907384,0.10931269059347877,0.1586039886039886,0.10164904425434171,0.1749559936630875,0.08943556855028888
13:19672934:+,0.1341456770202406,0.13415967785715685,0.14983045849918916,0.15138244471577805,0.16740457610022827,0.1264055687506802
14:20367026:-,0.17548047368606726,0.2175273551470125,0.21467171717171718,0.20683124346917448,0.22344322344322345,0.2738095238095238
14:74735840:+,0.20854061605560856,0.2178498271289192,0.22341373751889423,0.1870934484905073,0.29292929292929293,0.15128013178130975
15:34231753:-,0.18008187464709205,0.21059123032807242,0.15807292447643326,0.23155844155844152,0.16284849808597637,0.19932661953670358
16:29667654:+,0.09502933286459689,0.0663342973281781,0.15789473684210525,0.07204999793458236,0.09502933286459689,0.08383829935352183
16:29668564:+,0.2511833723432416,0.2913084016077069,0.24150522679934447,0.27179891466075823,0.2511833723432416,0.20012094630515684
16:29668965:+,0.17183430651724008,0.1259952788263324,0.23721091000502767,0.1326696112367005,0.17183430651724008,0.1914614260008997
16:29669000:+,0.14955123557026856,0.15336825416039296,0.1724110671936759,0.1329032385474802,0.14955123557026856,0.13952238237952522
16:29669624:+,0.1725048266418191,0.12597258724105384,0.25,0.12348727876678187,0.1725048266418191,0.19055944055944057
16:29669981:+,0.12461552957010998,0.11612767651065045,0.16540835205497556,0.0937958345778721,0.12461552957010998,0.12313025513694181
16:29670049:+,0.1069102816875088,0.10901199016475355,0.1356138796610849,0.09634747117934192,0.1069102816875088,0.0866677857448548
16:29670138:+,0.09604458039159464,0.07931986276487556,0.15487447934256446,0.06715484780627752,0.09604458039159464,0.08282913165266106
16:29670367:+,0.07776082916568341,0.06310210047459343,0.10419254658385092,0.0803114209317981,0.07776082916568341,0.06343724867249122
16:29670438:+,0.08073996063007426,0.06728639963983736,0.11696230598669623,0.06286658343726968,0.08073996063007426,0.07584455345649375
16:48352442:+,0.19019288627131767,0.1173883773883774,0.19612794612794615,0.1420276024509434,0.16470438798900033,0.17778512770641705
17:35271152:+,0.23249883567239626,0.23249883567239626,0.3076923076923077,0.20786603249870367,0.23249883567239626,0.18193816682617742
17:35468849:-,0.19767507269949042,0.19767507269949042,0.19767507269949042,0.2144283278015374,0.19767507269949042,0.1809218175974434
17:64322996:-,0.125,0.09352457422698837,0.09822141071307794,0.13022099149572863,0.0991865587454734,0.23517241379310344
18:32072155:+,0.1811068472634515,0.21400852007469653,0.21728065021543283,0.13937952106895862,0.1811068472634515,0.15375869769471806
